Galaxy,Distance,σ∗,Δσ∗,K,B − V,M∗,MBH,ΔMBH,ΔMBH,HT
NGC7619,53.9,292,5,8.03,0.97,11.5,2.30E+09,2.19E+09,3.45E+09,E
NGC7768,116,257,26,9.34,0.91,11.6,1.34E+09,9.30E+08,1.85E+09,E
IC1459,28.9,331,5,6.81,0.97,11.5,2.48E+09,2.29E+09,2.96E+09,E
NGC1316,20.9,226,9,5.32,0.87,11.8,1.69E+08,1.39E+08,1.97E+08,E
NGC2960,67.1,166,16,9.78,0.88,11,1.08E+07,1.03E+07,1.12E+07,E
NGC4382,17.9,182,5,5.76,0.86,11.4,1.30E+07,1.00E+07,2.24E+08,E
NGC5128,3.6,150,7,3.49,0.9,11,5.69E+07,4.65E+07,6.73E+07,E
NGC2778,23.4,175,8,9.51,0.91,10.2,1.45E+07,1.00E+07,2.91E+07,E
NGC3607,22.6,229,11,6.99,0.91,11.2,1.37E+08,9.00E+07,1.82E+08,E
NGC4261,32.4,315,15,6.94,0.97,11.5,5.29E+08,4.21E+08,6.36E+08,E
NGC4459,16,167,8,7.15,0.91,10.8,6.96E+07,5.62E+07,8.29E+07,E
NGC7052,70.4,266,13,8.57,0.86,11.5,3.96E+08,2.40E+08,6.72E+08,E
A1836BCG,152.4,288,14,9.99,1.04,11.6,3.74E+09,3.22E+09,4.16E+09,E
A3565BCG,49.2,322,16,7.5,0.96,11.6,1.30E+09,1.11E+09,1.50E+09,E
NGC524,24.2,247,12,7.16,0.98,11.2,8.67E+08,8.21E+08,9.61E+08,S0
NGC821,23.4,209,10,7.71,0.89,10.9,1.65E+08,9.20E+07,2.39E+08,S0
NGC1023,10.8,205,10,6.24,0.95,10.8,4.13E+07,3.71E+07,4.56E+07,S0
NGC1194,58,148,24,9.76,0.89,10.9,7.08E+07,6.76E+07,7.41E+07,S0
NGC1277,73,333,17,9.81,0.98,11.1,1.70E+10,1.40E+10,2.00E+10,S0
NGC2549,12.7,145,7,8.05,0.91,10.2,1.45E+07,3.10E+06,1.65E+07,S0
NGC3115,9.5,230,11,5.88,0.93,10.9,8.97E+08,6.20E+08,9.54E+08,S0
NGC3245,21.4,205,10,7.86,0.89,10.8,2.39E+08,1.63E+08,2.66E+08,S0
NGC3585,20.5,213,11,6.7,0.91,11.2,3.29E+08,2.71E+08,4.74E+08,S0
NGC3998,14.3,275,7,7.37,0.94,10.6,8.45E+08,7.79E+08,9.15E+08,S0
NGC4026,13.3,180,9,7.58,0.9,10.5,1.80E+08,1.45E+08,2.40E+08,S0
NGC4342,22.9,225,11,9.02,0.93,10.4,4.53E+08,3.05E+08,7.18E+08,S0
NGC4526,16.4,222,11,6.47,0.94,11.1,4.51E+08,3.48E+08,5.91E+08,S0
NGC4564,15.9,162,8,7.94,0.9,10.5,8.81E+07,6.38E+07,1.13E+08,S0
NGC7457,12.5,67,3,8.18,0.84,10.2,9.00E+06,3.60E+06,1.43E+07,S0
NGC3384,11.5,146,7,6.75,0.91,10.7,1.08E+07,5.90E+06,1.57E+07,S0
NGC3945,19.5,192,10,7.53,0.93,10.8,8.80E+06,1.00E+06,2.55E+07,S0
NGC3998,14.3,275,7,7.37,0.94,10.6,2.27E+08,1.43E+08,3.28E+08,S0
NGC4596,16.5,136,6,7.46,0.92,10.7,7.67E+07,4.43E+07,1.14E+08,S0
M31,0.8,169,8,0.57,0.86,10.8,1.43E+08,1.12E+08,2.34E+08,S
M81,3.6,143,7,3.83,0.88,10.8,6.50E+07,5.00E+07,9.00E+07,S
NGC4258,7.3,115,10,5.46,0.68,10.8,3.78E+07,3.74E+07,3.82E+07,S
