## 1  Object  Hubble  Distance     K       M_K     M_K     M_K   B/T  PB/T     M_V     M_V     M_V   (V-K)0  (B-V)0  log(M_bulge)  logMbulge_err  Object     log(M_BH)  log(M_BH high) log(M_BH low)  sigma_e    V_circ  Flag Flag 
 28  NGC1300   SBbc   21.5       7.564  -24.11  -21.71  -23.98  0.0   0.11  -21.32  -18.92  -21.19   2.791  0.653    9.84  0.10     NGC1300    7.55e7      3.89e7     14.75e7          88 ±  3   220 ± 10   2   0   
 29  NGC2273   SBa    29.5       8.480  -23.89  -22.07  -23.67  0.0   0.19  -20.88  -19.06  -20.66   3.007  0.827   10.08  0.09     NGC2273    8.61e6      8.15e6      9.07e6         125 ±  9   220 ±  6   3   0   	  
 30  NGC2748   Sc     23.4       8.723  -23.13  -20.56  -23.02  0.0   0.094 -20.27  -17.70  -20.16   2.862  0.707    9.41  0.10     NGC2748    4.44e7      2.62e7      6.20e7         115 ±  5   150 ± 10   2   0   
 31  NGC2787   SB0/a   7.45      7.263  -22.14  -21.06  -21.64  0.11  0.26  -19.10  -18.02  -18.60   3.038  0.944    9.78  0.09     NGC2787    4.07e7      3.55e7      4.47e7         189 ±  9   226 ± 10   2   0   
 32  NGC3227   SBa    23.75      7.639  -24.25  -21.83  -24.12  0.0   0.108 -21.55  -19.13  -21.43   2.696  0.800    9.99  0.09     NGC3227    2.10e7      0.98e7      2.79e7         133 ± 12   250 ± 10   1   0   
 33  NGC3368   SABab  10.62      6.320  -23.99  -22.48  -23.68  0.0   0.25  -21.14  -19.63  -20.82   2.854  0.838   10.26  0.09     NGC3368    7.66e6      6.13e6      9.19e6         125 ±  6   204 ±  5   1   0   
 34  NGC3384   SB0    11.49      6.750  -23.65  -22.56  -23.15  0.0   0.37  -20.55  -19.46  -20.05   3.105  0.906   10.34  0.09     NGC3384    1.08e7      0.59e7      1.57e7         146 ±  7   160 ± 10   1   1   	  
 35  NGC3393   SABa   49.2       9.059  -24.45  -23.03  -24.11  0.0   0.27  -21.48  -20.05  -21.14   2.968  0.813   10.48  0.09     NGC3393    1.57e7      0.58e7      2.55e7         148 ± 10   -1. ±  0   3   0   
 36  NGC3489   SABa   11.98      7.370  -23.29  -22.15  -22.82  0.11  0.24  -20.17  -19.03  -19.70   3.120  0.815   10.11  0.09     NGC3489    5.94e6      5.11e6      6.78e6         113 ±  4   -1. ±  0   1   0   	  
 37  NGC3945   SB0    19.5       7.526  -23.93  -22.88  -23.41  0.04  0.34  -20.95  -19.90  -20.43   2.980  0.925   10.50  0.09     NGC3945    8.80e6      0.00e6     25.50e6         192 ± 10   -1. ±  0   1   0   	  
