# 1  Object    Hubble  Distance    K       M_K      M_V      V-K)0   (B-V)0        log(M)     Object  log(M_BH) log(M_BH high) log(M_BH low) sigma_e     Flags   
36  IC1459     E4    28.92       6.81    -25.51   -22.42    3.081    0.966    11.60 ± 0.09   IC1459     2.48e9   2.29e9   2.96e9            331 ±  5    1 0 0   
38  NGC1316    E4    20.95       5.32    -26.29   -23.38    2.910    0.871    11.84 ± 0.09   NGC1316    1.69e8   1.39e8   1.97e8            226 ±  9    1 0 0   
39  NGC2960    E2    67.1        9.78    -24.36   -21.30    3.068    0.880    11.06 ± 0.09   NGC2960    1.08e7   1.03e7   1.12e7            166 ± 16    3 0 0   
40  NGC4382    E2    17.88       5.76    -25.51   -22.53    2.980    0.863    11.51 ± 0.09   NGC4382    1.30e7   0.00e7  22.40e7            182 ±  5    1 1 0   
41  NGC5128    E      3.62       3.49    -24.34   -21.36    2.980    0.898    11.05 ± 0.09   NGC5128    5.69e7   4.65e7   6.73e7            150 ±  7    1 1 0     
44  NGC2778    E2    23.44       9.51    -22.34   -19.39    2.955    0.911    10.26 ± 0.09   NGC2778    1.45e7   0.00e7   2.91e7            175 ±  8    1 0 1   
45  NGC3607    E1    22.65       6.99    -24.79   -21.92    2.872    0.911    11.26 ± 0.09   NGC3607    1.37e8   0.90e8   1.82e8            229 ± 11    1 1 0   
46  NGC4261    E2    32.36       6.94    -25.62   -22.64    2.980    0.974    11.65 ± 0.09   NGC4261    5.29e8   4.21e8   6.36e8            315 ± 15    2 1 0   
47  NGC4459    E2    16.01       7.15    -23.88   -20.91    2.975    0.909    10.88 ± 0.09   NGC4459    6.96e7   5.62e7   8.29e7            167 ±  8    2 0 0   
48  NGC6251    E1   108.4        9.03    -26.18   -23.18    2.998    9.999    11.88 ± 0.09   NGC6251    6.14e8   4.09e8   8.18e8            290 ± 14    2 1 0   
49  NGC7052    E3    70.4        8.57    -25.70   -22.86    2.841    0.86     11.61 ± 0.10   NGC7052    3.96e8   2.40e8   6.72e8            266 ± 13    2 1 0   
50  A1836BCG   E    152.4        9.99    -25.95   -22.64    3.310    1.043    11.81 ± 0.10   A1836BCG   3.74e9   3.22e9   4.16e9            288 ± 14    2 1 0   
51  A3565BCG   E     49.2        7.50    -25.98   -23.03    2.948    0.956    11.78 ± 0.09   A3565BCG   1.30e9   1.11e9   1.50e9            322 ± 16    2 1 0    
