jname ndup uid ra_1 dec_1 file root srcid nGr Grating grade zfit z comment References nRef sn50 wmin wmax Lya Ha OIII L_Ha L_OIII HST NIRCam slit FITS Fnu Flam ID Ra_2 Dec_2 Field M_UV zbest zphot zspec ref isBL Xray index MBH Lbol Separation_1 NUMBER ALPHA_J2000 DELTA_J2000 X_IMAGE Y_IMAGE A_IMAGE B_IMAGE THETA_IMAGE ELONGATION ELLIPTICITY FLUX_F090W FLUXERR_F090W MAG_F090W MAGERR_F090W FLAGS_F090W KRON_RADIUS_F090W FLUX_F115W FLUXERR_F115W MAG_F115W MAGERR_F115W FLAGS_F115W KRON_RADIUS_F115W FLUX_F140M FLUXERR_F140M MAG_F140M MAGERR_F140M FLAGS_F140M KRON_RADIUS_F140M FLUX_F150W FLUXERR_F150W MAG_F150W MAGERR_F150W FLAGS_F150W KRON_RADIUS_F150W FLUX_F200W FLUXERR_F200W MAG_F200W MAGERR_F200W FLAGS_F200W KRON_RADIUS_F200W FLUX_F277W FLUXERR_F277W MAG_F277W MAGERR_F277W FLAGS_F277W KRON_RADIUS_F277W FLUX_F356W FLUXERR_F356W MAG_F356W MAGERR_F356W FLAGS_F356W KRON_RADIUS_F356W FLUX_F410M FLUXERR_F410M MAG_F410M MAGERR_F410M FLAGS_F410M KRON_RADIUS_F410M FLUX_F430M FLUXERR_F430M MAG_F430M MAGERR_F430M FLAGS_F430M KRON_RADIUS_F430M FLUX_F444W FLUXERR_F444W MAG_F444W MAGERR_F444W FLAGS_F444W KRON_RADIUS_F444W FLUX_F460M FLUXERR_F460M MAG_F460M MAGERR_F460M FLAGS_F460M KRON_RADIUS_F460M Separation L_NUV L_FUV
j021729.37m050657.29 2 22268 34.37237 -5.115912 rubies-uds31-nod-v3_prism-clear_4233_163748.spec.fits rubies-uds31-nod-v3 163748 0 "" 3 7.203 7.203 "Redshift matches rubies-uds31-v3_prism-clear_4233_163748 z=7.2012" "DKo24  z=N/A" 1 1.83 0.6 5.29 -0.8 "" "" "" 41.95 "" "" "" "FITS   zfit   spl" "" "" 55902 34.3723692861514 -5.115911848045463 UDS -18.158123577049885 8.67038631439209 8.67038631439209 0.0 Kokorev24/Kocevski24 0 0 118 -99.0 3.759937403421825e+43 0.0026174206004379325 138561 34.3723693 -5.1159098 23640.2969 36466.1055 2.289 2.146 -31.66 1.067 0.063 0.6614598260587872 0.8742670120681617 29.348741319170443 1.4350430823349103 0 1.92 1.0368599611276985 0.8449522873544605 28.860699739250084 0.884782250320636 0 1.92 0.0 0.0 99.0 99.0 1 0.0 1.9545117571710446 0.6824860520779146 28.17240428192156 0.3791227211935298 0 1.92 1.4612764855271885 0.5863164772763784 28.488169010509274 0.43563626263071537 0 1.92 2.266754721712676 0.32074617791883564 28.011488677374228 0.15363185728412235 0 1.92 6.90703393480366 0.2766846094042842 26.801771025663736 0.04349283651494501 0 1.92 13.467195715113386 0.5075287213087912 26.076807070871407 0.040917375772682445 0 1.92 0.0 0.0 99.0 99.0 1 0.0 13.973669798898516 0.3672089728927491 26.03672380860275 0.028531665791410886 0 1.92 0.0 0.0 99.0 99.0 1 0.0 0.008308207086571763 1.3725947780273333e+44 1.6708831676324646e+44
j021740.28m050805.43 1 19832 34.417822 -5.134842 rubies-uds31-v3_g395m-f290lp_4233_150323.spec.fits rubies-uds31-v3 150323 0 "" 3 3.6179 3.6179 "" - 0 3.07 2.88 5.14 "" 36.7 "" 42.17 "" "" "" "" "FITS   zfit   spl" "" "" 44681 34.41782169195119 -5.134841768801986 UDS -17.84414448443324 4.5811662673950195 4.5811662673950195 0.0 Kokorev24 0 0 148 -99.0 2.8963487730159635e+43 0.0013830114337917026 125025 34.4178232 -5.1348429 18207.5918 34194.2148 3.332 3.067 52.31 1.086 0.08 3.7972342101420007 1.019719919109348 27.451331537809363 0.2915666439359945 0 1.6 3.2939104769529526 1.011586394755876 27.60572052103168 0.3334383191990106 0 1.6 0.0 0.0 99.0 99.0 1 0.0 3.4490454090871054 0.8236554817247724 27.555752719513432 0.25928118383131976 0 1.6 8.11239763570382 0.6888445841652469 26.62712692548801 0.09219265845502159 0 1.6 27.141658450449803 0.37113544909648916 25.315909047376653 0.014846373322723325 0 1.6 26.921287380881985 0.36466624252987506 25.324760439774984 0.014706998835760087 0 1.6 29.711746166030697 0.6005000825492178 25.21767955965383 0.02194366756301056 0 1.6 0.0 0.0 99.0 99.0 1 0.0 31.0696011586654 0.44333082834801046 25.169160804398977 0.015492324106922094 0 1.6 0.0 0.0 99.0 99.0 1 0.0 0.005386140506071725 5.578919114390052e+43 1.1211985251848158e+44
j021738.87m050841.25 2 22254 34.411939 -5.144793 rubies-uds31-v3_g395m-f290lp_4233_926832.spec.fits rubies-uds31-v3 926832 0 "" 2 7.7717 7.0056 "" "DKo24  z=N/A" 1 1.53 2.88 5.2 "" "" "" "" 42.42 "" "" "" "FITS   zfit   spl" "" "" 177350 34.411921 -5.144804 UDS -18.23 7.63 7.63 0.0 Kocevski24 0 0 147 -99.0 3.992274097591895e+43 0.07571944559470409 117900 34.4119381 -5.1447943 18910.9824 33000.0625 1.93 1.868 -70.38 1.033 0.032 0.28416277124909184 0.724478773946564 30.266082051244442 2.7681065714377215 0 1.87 0.6128333840261331 0.7098394716289927 29.431643961476226 1.257598613265353 0 1.87 0.0 0.0 99.0 99.0 1 0.0 1.3649278656808153 0.5633761465183608 28.562225749515147 0.4481393446143798 0 1.87 1.068762949887765 0.48818150211462896 28.827796525032 0.49593441781895703 0 1.87 1.668697293153627 0.2231269888043258 28.344056096343035 0.14517734941948826 0 1.87 2.2337375091009535 0.20520852232537445 28.02741965755732 0.09974418270088081 0 1.87 4.183911947135834 0.37290483682729164 27.34604366006241 0.09676979042304604 0 1.87 0.0 0.0 99.0 99.0 1 0.0 5.821823666169393 0.2646484094311331 26.987352381977367 0.04935538692467735 0 1.87 0.0 0.0 99.0 99.0 1 0.0 0.005684679960281844 9.826272856120296e+43 9.162870094310219e+43
j021732.91m050717.78 2 22261 34.387136 -5.121606 rubies-uds31-v3_g395m-f290lp_4233_961025.spec.fits rubies-uds31-v3 961025 0 "" 3 6.2384 6.2384 "Redshift matches rubies-uds31-v3_prism-clear_4233_159869 z=6.2447" - 0 -0.14 2.88 5.2 "" 16.2 "" 42.59 42.86 "" "" "" "FITS   zfit   spl" "" "" 52856 34.38713641481489 -5.121605238050311 UDS -19.206664201164383 6.320851802825928 6.320851802825928 0.0 Kokorev24 0 0 126 -99.0 9.08807211132429e+43 0.0031203247252102394 134659 34.3871337 -5.1216057 21875.6055 35782.6602 2.218 2.125 31.72 1.044 0.042 3.338305578410231 1.193975558258764 27.591184779579926 0.3883234954827544 0 1.6 4.972084712530011 1.1970267567157926 27.15865370154877 0.2613904152830125 0 1.6 0.0 0.0 99.0 99.0 1 0.0 5.109949747129045 0.9938804548566015 27.128958427085855 0.21117467811607402 0 1.6 4.412415936898275 0.8910817763198552 27.288308888706606 0.21926304314609688 0 1.6 4.829519214313642 0.45427278963481477 27.190240254365275 0.10212619365530094 0 1.6 11.43908901759939 0.40371509140392925 26.254021400916706 0.038318443931164646 0 1.6 5.44070898929332 0.7490304066133402 27.060861257154013 0.14947489978331616 0 1.6 0.0 0.0 99.0 99.0 1 0.0 9.403993450134134 0.5339330870420947 26.46671920508095 0.061645139013958704 0 1.6 0.0 0.0 99.0 99.0 1 0.0 0.008317358357333866 2.827499843677362e+44 4.283693329440458e+44
j021754.73m051007.39 2 19937 34.478045 -5.168718 rubies-uds32-nod-v3_prism-clear_4233_125917.spec.fits rubies-uds32-nod-v3 125917 1 G395M 3 6.042 6.042 "Redshift matches rubies-uds32-v3_prism-clear_4233_125917 z=6.0426" "DKo24  z=N/A" 1 0.5 0.6 5.29 0.3 9.8 "" 42.14 41.91 "" "" "" "FITS   zfit   spl" "" "" 139484 34.478026 -5.168735 UDS -18.97 5.77 5.77 0.0 Kocevski24 0 0 191 -99.0 7.435887484718596e+43 0.09157526243060506 99905 34.4780444 -5.1687214 11010.5088 30128.3242 2.144 1.96 -79.72 1.094 0.086 2.33393737668789 1.1433660306848736 27.979777002393025 0.5318882619579254 0 2.05 1.9766422095307685 1.081800629128349 28.16017983719736 0.5942148274034857 0 2.05 0.0 0.0 99.0 99.0 1 0.0 1.5655087492687387 0.9068064447867503 28.413361252170496 0.6289026415680338 0 2.05 1.4966299093701352 0.7892253117927835 28.462213949692433 0.5725466859643178 0 2.05 2.671731868481097 0.42626453194809255 27.833017823090568 0.17322503077505094 0 2.05 5.715575801798703 0.4204318838419677 27.00735002780552 0.07986563974503394 0 2.05 4.293278163006216 0.7299188917490614 27.318027431290865 0.18459073398448664 0 2.05 0.0 0.0 99.0 99.0 1 0.0 8.45713705708717 0.49749037990142536 26.581941577845374 0.06386834141764414 0 2.05 0.0 0.0 99.0 99.0 1 0.0 0.012427603707260829 8.091360965953346e+43 1.7279373420921974e+44
j021748.60m050916.95 3 19766 34.452493 -5.154707 rubies-uds32-nod-v3_prism-clear_4233_136272.spec.fits rubies-uds32-nod-v3 136272 1 G395M 3 2.4983 2.4983 "Redshift matches valentino-obs19-v3_g235m-f170lp_3567_136272 z=2.4884" - 0 2.52 0.6 5.29 "" "" "" "" "" "" "" "" "FITS   zfit   spl" "" "" 32025 34.452492762590296 -5.154707337215251 UDS -16.99379146804004 4.043330669403076 4.043330669403076 0.0 Kokorev24 0 0 173 -99.0 1.440245709565501e+43 0.0014826691484553826 112981 34.452546 -5.1545741 14057.7451 31826.2793 30.35 18.723 75.22 1.621 0.383 84.73823164275828 11.588406271451253 24.079801508254537 0.1484802314190851 3 2.34 94.87698006435032 11.185418883146273 23.95709786839866 0.12800169481132515 3 2.34 0.0 0.0 99.0 99.0 3 0.0 86.16720548976765 9.7715246682414 24.06164497884801 0.12312454660325163 3 2.34 184.99059820250488 9.074180031515615 23.2321258580807 0.053257656791426945 3 2.34 83.57716074493409 6.5845402417484316 24.094780966617986 0.08553860490632244 3 2.34 301.01294088016533 6.607356395285187 22.70353708300844 0.023832350978416027 3 2.34 397.6398995297869 8.686607834324995 22.40127511151536 0.02371835581241957 3 2.34 0.0 0.0 99.0 99.0 3 0.0 398.1512229139521 6.664285499022384 22.39987986502097 0.018173135303158314 3 2.34 0.0 0.0 99.0 99.0 3 0.0 0.5147966748823075 5.425073861770603e+44 7.085261976808278e+44
j021748.81m051614.58 2 20412 34.453355 -5.270717 rubies-uds33-nod-v3_prism-clear_4233_29813.spec.fits rubies-uds33-nod-v3 29813 1 G395M 3 5.4435 5.4435 "Redshift matches rubies-uds33-v3_prism-clear_4233_29813 z=5.4435" "DKo24  z=N/A" 1 1.9 1.16 5.29 "" 49.0 "" 42.67 42.21 "" "" "" "FITS   zfit   spl" "" "" 25430 34.45335415712461 -5.27071720106125 UDS -18.963954009835202 7.128200054168701 7.128200054168701 0.0 Kokorev24/Kocevski24 0 0 174 -99.0 7.397949359256237e+43 0.0031070095420213644 37933 34.4533582 -5.2707186 13961.7227 17888.9277 2.875 2.463 87.28 1.167 0.143 5.565183778826893 1.307822317844548 27.036301223510716 0.2551488138229707 3 2.3 4.058753890163207 1.3306188786731663 27.37901820527697 0.3559469557421301 3 2.3 0.0 0.0 99.0 99.0 3 0.0 2.7897951083114565 1.0925074090771616 27.78606922891032 0.4251834998447307 3 2.3 2.6673968388155362 0.9584625630002789 27.834780919636433 0.39013224069680225 3 2.3 6.181540650726976 0.5629903489113719 26.92225817606374 0.0988845725168209 3 2.3 9.902526619498127 0.5686520103768995 26.410634953681146 0.062348337883689146 3 2.3 30.395282203874142 0.9644808430466778 25.19298455017439 0.03445178640117873 3 2.3 0.0 0.0 99.0 99.0 3 0.0 18.18589772950485 0.7199008969092615 25.750663138867544 0.0429795921674039 3 2.3 0.0 0.0 99.0 99.0 3 0.0 0.012836203239228941 1.2132208109368196e+44 3.2533408590156483e+44
j021749.29m051354.53 2 20547 34.455376 -5.231814 rubies-uds33-v3_g395m-f290lp_4233_53692.spec.fits rubies-uds33-v3 53692 0 "" 3 5.2762 5.2762 "Redshift matches rubies-uds33-v3_prism-clear_4233_53692 z=5.2807" "DKo24  z=N/A" 1 0.59 2.88 5.2 "" 11.0 "" 41.68 41.57 "" "" "" "FITS   zfit   spl" "" "" 102711 34.455357 -5.231831 UDS -17.64 4.99 4.99 0.0 Kocevski24 0 0 177 -99.0 2.4464543676667156e+43 0.09157018384732754 62368 34.4553855 -5.2318137 13719.1016 22557.502 2.115 2.092 -29.36 1.011 0.011 0.5864625868098734 1.6061332815639955 29.4793992208502 2.973483889137417 0 2.44 0.693600689271481 1.5003305101162792 29.297226209869653 2.3485604601221604 0 2.44 0.0 0.0 99.0 99.0 1 0.0 0.6371615406970738 1.2667980317317693 29.389376115632686 2.1586495720736405 0 2.44 0.9738194377023475 1.0523057192665335 28.92880390266739 1.1732425680241332 0 2.44 2.46009423476904 0.5238578598373421 27.92262064194038 0.2311990477982278 0 2.44 7.07994373902118 0.5307151173720858 26.774925483575622 0.08138717461376282 0 2.44 12.54159814456346 0.9295698843172691 26.1541177972916 0.08047361003139643 0 2.44 0.0 0.0 99.0 99.0 1 0.0 13.379613658506846 0.6746886530407958 26.083891067018588 0.054750003717793316 0 2.44 0.0 0.0 99.0 99.0 1 0.0 0.0340746397569741 2.5802163840459216e+43 3.8297180209581286e+43
j021754.78m051712.60 2 22286 34.478257 -5.286832 rubies-uds33-v3_g395m-f290lp_4233_822719.spec.fits rubies-uds33-v3 822719 0 "" 2 7.2088 6.9375 overlap "DKo24  z=N/A" 1 0.59 2.88 5.2 "" "" "" "" 42.38 "" "" "" "FITS   zfit   spl" "" "" 68913 34.47826 -5.28685 UDS -18.25 7.39 7.39 0.0 Kocevski24 0 0 192 -99.0 4.059498232429976e+43 0.0656862977419179 27773 34.4782575 -5.2868368 10986.6475 15954.458 1.922 1.762 57.36 1.091 0.083 -0.6263860240911185 1.069643111143253 99.0 99.0 0 0.0 1.2941664001766864 1.2907201384198048 28.620024699368443 1.082844975964051 0 1.93 0.0 0.0 99.0 99.0 1 0.0 0.41216044478781816 1.1368598874616704 29.862334224955053 2.994780200680893 0 1.93 1.3010713168929648 0.856050864125426 28.61424724344576 0.7143693079907623 0 1.93 1.3661584597941632 0.351681586117534 28.56124731052537 0.2794942474331278 0 1.93 2.4053241808410797 0.32132608272242774 27.94706595678835 0.14504296939419314 0 1.93 9.033725125228306 0.5844927953342902 26.51033282030459 0.07024842803136365 0 1.93 0.0 0.0 99.0 99.0 1 0.0 7.218410762171774 0.44051211049855593 26.7538960203391 0.06625834449725852 0 1.93 0.0 0.0 99.0 99.0 1 0.0 0.017372705371359775 6.71836740601544e+43 1.1383973742668505e+44
j021703.50m051357.31 2 15596 34.264602 -5.232586 rubies-uds3-nod-v3_prism-clear_4233_47509.spec.fits rubies-uds3-nod-v3 47509 1 G395M 3 5.6754 5.6754 "Redshift matches rubies-uds3-v3_prism-clear_4233_47509 z=5.6752" "DKo24  z=5.680" 1 4.45 0.6 5.29 -0.5 48.5 "" 42.88 42.81 "" "" "" "FITS   zfit   spl" "" "" 31092 34.264581 -5.232544 UDS -19.72 5.68 5.68 5.68 Kocevski24/Kokorev24 2 0 60 7.45 1.4082067996872025e+44 0.16890608130126267 62081 34.2645966 -5.2325854 36518.4141 22463.2227 4.214 3.151 66.59 1.337 0.252 6.536692469019777 1.701484482186925 26.8616048668836 0.28261438225829644 3 1.69 8.606154505401312 1.6092343234429436 26.562977153348946 0.20301796415633652 3 1.69 0.0 0.0 99.0 99.0 3 0.0 9.461137022335178 1.3270029038705957 26.460141669341017 0.1522835038907267 3 1.69 8.732899848951186 1.1502354083201594 26.547103801022935 0.1430054447444434 3 1.69 13.47141200211718 0.5833250494940012 26.076467203604686 0.04701341813897674 3 1.69 31.964071922370955 0.5526657668734911 25.13834475199555 0.01877261550663087 3 1.69 27.35880031894741 1.053444433148217 25.307257375775656 0.04180602758293491 3 1.69 0.0 0.0 99.0 99.0 3 0.0 46.596415436158914 0.7670478361733343 24.729118728455987 0.01787286851830469 3 1.69 0.0 0.0 99.0 99.0 3 0.0 0.01947911697945987 4.486536812221388e+44 5.521042585903122e+44
j021715.16m051336.41 2 15619 34.313154 -5.226781 rubies-uds3-nod-v3_prism-clear_4233_50716.spec.fits rubies-uds3-nod-v3 50716 1 G395M 3 6.1774 6.1774 "Redshift matches rubies-uds3-v3_g395m-f290lp_4233_50716 z=6.1693" "DKo24  z=6.170" 1 1.53 0.6 5.29 -2.2 21.0 "" 42.35 42.14 "" "" "" "FITS   zfit   spl" "" "" 29881 34.313132 -5.226765 UDS -18.06 6.17 6.17 6.17 Kocevski24/Kokorev24 2 0 85 7.52 3.4648902453593573e+43 0.097664448057981 65359 34.3131508 -5.2267845 30716.2656 23160.4121 2.538 2.284 22.55 1.111 0.1 0.6120272489102391 0.9882684119548326 29.433073103999206 1.7531879451262 0 1.87 1.3496627817005293 0.9222104542445297 28.574436820134576 0.7418721862642984 0 1.87 0.0 0.0 99.0 99.0 1 0.0 1.3581613297895974 0.7521395321101761 28.56762159782676 0.6012725462948993 0 1.87 1.8749707904298276 0.6384963610739073 28.21751373404593 0.36973302163568045 0 1.87 3.0661067102806756 0.3034559849715087 27.683531835967973 0.1074565175208613 0 1.87 9.601983070385355 0.2914298075451503 26.44409766021746 0.03295318174152591 0 1.87 10.843662396714837 0.5569877921035771 26.312060030183275 0.05576914785528167 0 1.87 0.0 0.0 99.0 99.0 1 0.0 17.42665904224926 0.3977622452712686 25.796964664553204 0.0247818511586119 0 1.87 0.0 0.0 99.0 99.0 1 0.0 0.01704021872575285 7.595707128054335e+43 1.1038821407596174e+44
j021714.92m051209.27 1 15742 34.312171 -5.202574 rubies-uds3-v3_g395m-f290lp_4233_63166.spec.fits rubies-uds3-v3 63166 0 "" 1 8.8513 8.8513 "" "DKo24  z=6.520" 1 0.72 3.1 5.2 "" "" "" "" 42.54 "" "" "" "FITS   zfit   spl" "" "" 119639 34.312143 -5.202546 UDS -17.65 6.52 6.52 6.52 Kocevski24 2 0 84 7.82 2.466729328061877e+43 0.14225939633023285 78501 34.3121603 -5.2025775 30835.0645 26065.2363 2.092 1.97 37.02 1.062 0.058 1.2775875692399745 2.223694192782211 28.63402330619387 1.8897689297731055 0 2.43 0.8055760842522419 2.148654722597351 29.13473358873123 2.8959055133990423 0 2.43 0.0 0.0 99.0 99.0 1 0.0 0.11458305752507311 1.7736616604271387 31.252198983132075 16.806399840532922 0 2.43 0.24884649729002267 1.5120752780327265 30.410171169782522 6.59729950615491 0 2.43 1.5476337237576496 0.6675313271770479 28.425829538352875 0.468303913646081 0 2.43 7.464366191727243 0.5881220078552222 26.717517657095016 0.08554582403140397 0 2.43 9.959484565965608 1.1304651853547465 26.404407842683042 0.1232380021103289 0 2.43 0.0 0.0 99.0 99.0 1 0.0 15.354277456134529 0.7913387554019824 25.934426539585484 0.055957379917274966 0 2.43 0.0 0.0 99.0 99.0 1 0.0 0.04037759413925909 6.570706905584459e+43 2.1633828540597683e+43
j021737.70m051505.99 2 11344 34.407091 -5.251665 rubies-uds41-v3_g395m-f290lp_4233_41571.spec.fits rubies-uds41-v3 41571 0 "" 3 5.483 5.4855 "broad Halpha" "DKo24  z=N/A" 1 0.46 2.88 5.2 "" 10.6 "" 41.89 41.38 "" "" "" "FITS   zfit   spl" "" "" 36872 34.4070890500239 -5.251666396435935 UDS -18.298870973293397 7.135115146636963 7.135115146636963 0.0 Kokorev24/Kocevski24 0 0 142 -99.0 4.2286768713400213e+43 0.008610387366680053 50161 34.4070914 -5.2516662 19490.2578 20175.4355 3.108 2.7 18.85 1.151 0.131 1.3916958900590333 1.1207664076839134 28.541139138283405 0.8743696626477195 0 1.6 1.1721748528996643 0.769835843663453 28.72751899983622 0.7130665234101181 0 1.6 0.0 0.0 99.0 99.0 1 0.0 1.7143908205651384 0.6490201333616648 28.31472541830302 0.41102918188480536 0 1.6 2.1423449483649053 0.568866605835063 28.07277650053205 0.28830047658963537 0 1.6 6.049131921675831 0.2745114074350687 26.945767360342167 0.04927103219610296 0 1.6 10.737444005545106 0.24880709677040472 26.322747719868268 0.02515858269667165 0 1.6 36.61601357908484 0.6216086083134228 24.990822348805473 0.01843190738875803 0 1.6 0.0 0.0 99.0 99.0 1 0.0 25.84802982930692 0.29047381941113093 25.368931384507142 0.012201237167850171 0 1.6 0.0 0.0 99.0 99.0 1 0.0 0.004551771926140962 7.486660674921498e+43 8.065123175880651e+43
j021736.44m051500.60 1 11348 34.401816 -5.250166 rubies-uds41-v3_g395m-f290lp_4233_42658.spec.fits rubies-uds41-v3 42658 0 "" 3 4.7101 4.7101 "broad wings, perhaps Halpha" - 0 1.02 2.88 5.2 "" 33.8 "" 42.32 "" "" "" "" "FITS   zfit   spl" "" "" 37878 34.40181687272715 -5.25016724014793 UDS -18.44031234984277 4.773196697235107 4.773196697235107 0.0 Kokorev24 0 0 136 -99.0 4.760100086346626e+43 0.0054516436940621185 51285 34.4018187 -5.2501686 20120.3242 20355.1387 3.32 2.822 86.1 1.176 0.15 3.5067730309739784 1.4599083127982229 27.53773085517464 0.4520039639953956 0 1.66 3.5616703003230965 0.881081423024564 27.52086571286798 0.2685880274293783 0 1.66 0.0 0.0 99.0 99.0 1 0.0 4.084269025680967 0.7657267141891307 27.37221414802457 0.20355593897417296 0 1.66 5.0363925429507255 0.6756943989137725 27.144701069427935 0.1456649508545153 0 1.66 13.50462415384345 0.2981465495428815 26.07379374531169 0.0239701971320906 0 1.66 17.000658552352906 0.2777137115528951 25.823835637714115 0.017736008888255862 0 1.66 15.45418156753996 0.698217901293206 25.92738497409355 0.04905341968005266 0 1.66 0.0 0.0 99.0 99.0 1 0.0 17.260128735419155 0.33592301364379 25.807389923511224 0.0211309998619002 0 1.66 0.0 0.0 99.0 99.0 1 0.0 0.013464654669983945 1.1528993291869336e+44 1.6297177013245794e+44
j021731.60m051813.47 2 13333 34.381671 -5.303742 rubies-uds42-nod-v3_prism-clear_4233_10036.spec.fits rubies-uds42-nod-v3 10036 1 G395M 3 3.8179 3.8179 "Redshift matches rubies-uds42-v3_g395m-f290lp_4233_10036 z=3.8052" "DKo24  z=N/A" 1 2.97 0.6 5.29 "" 29.8 20.9 42.18 42.16 "" "" "" "FITS   zfit   spl" "" "" 46081 34.381664 -5.303754 UDS -17.73 4.51 4.51 0.0 Kocevski24 0 0 124 -99.0 2.635251827820459e+43 0.049958522669036914 17595 34.3816744 -5.3037464 22527.2539 13925.7412 2.412 2.239 83.33 1.077 0.072 2.392094486246947 2.5771788822854744 27.953054174956108 1.16974326671583 0 2.07 2.9199680884956836 2.60662084281705 27.73655473701762 0.969223818669073 0 2.07 0.0 0.0 99.0 99.0 1 0.0 2.3517938988588583 2.1624390014868777 27.97150185158995 0.9983180565416655 0 2.07 6.5803333884280555 1.692636572752764 26.854380256433668 0.2792801975302966 0 2.07 11.739394227583814 0.7150039282146584 26.225885782083296 0.06612825469161498 0 2.07 21.10566439650782 0.6591184463004197 25.589002429764754 0.033906952509426894 0 2.07 18.777141254775746 1.2049027233391898 25.715926316620564 0.06967016396110347 0 2.07 0.0 0.0 99.0 99.0 1 0.0 20.269747666899853 0.9068428840843333 25.632879144246154 0.0485744651318705 0 2.07 0.0 0.0 99.0 99.0 1 0.0 0.0199860728056755 5.375228547401896e+43 4.56946132542494e+43
j021719.28m051652.48 2 22164 34.330322 -5.281244 rubies-uds42-nod-v3_prism-clear_4233_23219.spec.fits rubies-uds42-nod-v3 23219 0 "" 3 8.5611 8.5611 "Redshift matches rubies-uds42-v3_prism-clear_4233_23219 z=8.5609" "DKo24  z=N/A" 1 0.93 0.6 5.29 -1.0 "" "" "" 42.64 "" "" "" "FITS   zfit   spl" "" "" 72386 34.330303 -5.281233 UDS -19.66 8.89 8.89 0.0 Kocevski24 0 0 89 -99.0 1.3376872532131148e+44 0.07878503869515543 31202 34.3303216 -5.2812481 28663.5508 16625.0469 2.207 2.094 -15.82 1.054 0.051 -0.08381283188410067 0.5981502704352686 99.0 99.0 0 0.0 1.186476140919116 0.7243149746134298 28.714352476678876 0.6628156812129923 0 1.6 0.0 0.0 99.0 99.0 1 0.0 3.1497572920325774 0.5536050806754548 27.654307274884708 0.190830284208822 0 1.6 3.0267233441334156 0.4788708695154015 27.697568184152342 0.17177897723775556 0 1.6 2.9699850186104957 0.24005438325007558 27.71811435343357 0.08775658239765421 0 1.6 3.7735307507313314 0.22602007089520879 27.458130266415115 0.06503144937281027 0 1.6 5.869145686375016 0.4191346912781746 26.978562775285972 0.07753593679694498 0 1.6 0.0 0.0 99.0 99.0 1 0.0 10.400305696090836 0.318714779543631 26.35738473824963 0.033272115767913626 0 1.6 0.0 0.0 99.0 99.0 1 0.0 0.014829485225815469 3.1921749916724654e+44 5.6461921025330345e+44
j021724.59m051552.60 2 13876 34.352461 -5.26461 rubies-uds42-nod-v3_prism-clear_4233_33451.spec.fits rubies-uds42-nod-v3 33451 1 G395M 3 7.11 7.11 "Redshift matches rubies-uds42-v3_prism-clear_4233_33451 z=7.1098" "DKo24  z=N/A" 1 0.82 0.6 5.29 -0.5 "" "" "" 42.65 "" "" "" "FITS   zfit   spl" "" "" 81866 34.352438 -5.264601 UDS -18.76 7.42 7.42 0.0 Kocevski24 0 0 101 -99.0 6.227467285752599e+43 0.08858826243945811 41758 34.3524574 -5.2646087 26018.6875 18622.0527 2.153 1.966 7.0 1.095 0.087 0.6033530473203659 1.4251353385135497 29.448571223648663 2.564536701316772 0 2.77 1.3896756297135493 1.3730775365366146 28.5427163962443 1.0727683219610038 0 2.77 0.0 0.0 99.0 99.0 1 0.0 3.205089058634024 1.0881389148174905 27.63539974599009 0.3686112285837965 0 2.77 1.7495907678179499 0.9750284871366348 28.292658804087424 0.6050693388574987 0 2.77 2.3442910802549917 0.5110730927187558 27.974971162202227 0.2366986611500929 0 2.77 3.3350265672390385 0.49117998546989833 27.592251755223636 0.15990634033201595 0 2.77 14.560130211552263 0.8435145371557671 25.992086852752205 0.06290014298795031 0 2.77 0.0 0.0 99.0 99.0 1 0.0 7.845449713150481 0.6642388897661161 26.663455392352613 0.09192439408776866 0 2.77 0.0 0.0 99.0 99.0 1 0.0 0.013727706229376777 1.912768842270902e+44 2.3228804260702823e+44
j021725.32m051523.22 1 13903 34.355508 -5.25645 rubies-uds42-v3_g395m-f290lp_4233_38435.spec.fits rubies-uds42-v3 38435 0 "" 2 3.9827 3.9827 "" - 0 0.66 2.88 5.2 "" 17.5 "" 41.88 "" "" "" "" "FITS   zfit   spl" "" "" 33898 34.35550806508812 -5.256449826079847 UDS -18.168545470694003 4.5452728271484375 4.5452728271484375 0.0 Kokorev24 0 0 103 -99.0 3.7927490197814423e+43 0.0006681771258531124 46934 34.3555104 -5.2564546 25653.9609 19600.5781 2.659 2.335 40.55 1.139 0.122 4.19690549320478 0.9612197678767136 27.342677025530826 0.24866681043990593 0 1.95 2.028050178255844 0.9532008975435683 28.132303259601645 0.5103052853263464 0 1.95 0.0 0.0 99.0 99.0 1 0.0 3.259888160257706 0.7895599438852317 27.61699324846214 0.26297031516419384 0 1.95 3.2518586209071505 0.6696595926572454 27.61967086056592 0.22358710798095072 0 1.95 7.746337982545305 0.3367400829176107 26.677258895294482 0.04719790182673793 0 1.95 10.358507416080977 0.3264620382371509 26.361757046722975 0.03421841006194986 0 1.95 10.384222286538506 0.6252694328701461 26.359065059645133 0.06537587912344263 0 1.95 0.0 0.0 99.0 99.0 1 0.0 9.688306364335837 0.4665678383074624 26.434380340889597 0.052286702647111806 0 1.95 0.0 0.0 99.0 99.0 1 0.0 0.01866163604274793 4.195728486289796e+43 2.014384531897436e+44
