jname,ndup,uid,ra,dec,file,root,srcid,nGr,Grating,grade,zfit,z,comment,References,nRef,sn50,wmin,wmax,Lya,Ha,OIII,L_Ha,L_OIII,HST,NIRCam,slit,FITS,Fnu,Flam,ID_1,RA_1,DEC_1,X,Y,isoarea_SE,class_starSE,flags_SE,r50_SE,f_autoSE,e_autoSE,a_f001w,ell_f001w,theta_f001w,rKron_f001w,f_f435w,f_f606w,f_f775w,f_f814w,f_f105w,f_f125w,f_f140w,f_f160w,f_f090w,f_f115w,f_f150w,f_f200w,f_f277w,f_f356w,f_f410m,f_f444w,e_f435w,e_f606w,e_f775w,e_f814w,e_f105w,e_f125w,e_f140w,e_f160w,e_f090w,e_f115w,e_f150w,e_f200w,e_f277w,e_f356w,e_f410m,e_f444w,apopt,flag_1,ID_2,RA_2,DEC_2,zspec,zphot,EAzY_eazy_v13,EAzY_Larson,EAzY_LarsonLyaRed,flag_2,Separation_2,GroupID,GroupSize,Separation,beta_UV,beta_opt,beta_277356,beta_277410,F115_mag,F150_mag,F200_mag,F277_mag,F356_mag,F410_mag,F444_mag,method,compact
j123647.38p621038.04,5,7845,189.197396,62.177233,jades-gdn09-v3_prism-clear_1181_73488.spec.fits,jades-gdn09-v3,73488,4,G140M   G235M   G395H   G395M,3,4.13,4.133,LRD with bright LyA,-,0,13.05,0.6,5.29,22.9,77.5,,42.72,42.4,,,,FITS   zfit   spl,,,10395,189.197412,62.177232,18281.945,6197.131,396.0,0.98,2.0,3.225,0.32489,0.00172,3.956498,0.116928,64.597323,31.651983,0.00206,0.03495,0.04083,0.0436,0.05308,0.04301,0.05765,0.04615,0.04568,0.04572,0.04958,0.06277,0.17331,0.359,0.26622,0.31434,0.00256,0.00339,0.0067,0.00392,0.005,0.00452,0.01889,0.00603,0.00214,0.00156,0.00167,0.00156,0.00144,0.0016,0.00252,0.0018,0.33,10200,10395,189.197412,62.177232,4.133,4.133,4.133,4.133,4.133,10200,0.0,1486,5,0.027124078606327352,-1.777895414823068,0.051198333821150466,0.428746751526419,0.1916522054317925,27.24973444569189,27.161733693920493,26.90561967837322,25.80294094434731,25.0122638785542,25.3368983022495,25.156500877921022,Both,true
j142032.90p525918.80,2,8217,215.137081,52.988554,rubies-egs51-nod-v3_prism-clear_4233_926125.spec.fits,rubies-egs51-nod-v3,926125,1,G395M,3,5.284,5.284,Redshift matches rubies-egs51-v3_g395m-f290lp_4233_926125 z=5.2842,DKo24  z=5.290,1,3.4,0.6,5.29,-1.0,48.2,,42.67,42.47,,,,FITS   zfit   spl,,,25931,215.137063,52.988558,1398.888,4994.243,313.0,0.99,2.0,3.079,0.12014,0.00269,3.691726,0.178357,33.923663,29.533812,0.0,-0.00363,0.0,0.0067,0.0,0.01824,0.0,0.03312,0.0,0.01598,0.02107,0.02051,0.06605,0.10116,0.36173,0.28559,-99.0,0.00449,-99.0,0.00473,-99.0,0.01193,-99.0,0.01074,-99.0,0.00258,0.00386,0.00315,0.00269,0.0021,0.00498,0.0044,0.33,314,25931,215.137063,52.988558,5.284,5.284,5.284,5.284,5.284,314,0.0,2925,4,0.04158100656445178,-1.437921347393783,1.0437008161134742,0.21681250554390913,1.0815336985975352,28.391058062555068,28.09083866097975,28.120085849079082,26.850317945123635,26.38747794831908,25.004038679062425,25.260642508878774,Both,true
j142031.55p525905.68,2,8218,215.131478,52.98491,rubies-egs51-nod-v3_prism-clear_4233_926156.spec.fits,rubies-egs51-nod-v3,926156,1,G395M,0,7.8287,7.9436,,DKo24  z=N/A,1,1.06,0.6,5.29,0.9,,,,42.3,,,,FITS   zfit   spl,,,26252,215.131461,52.984913,1994.416,5017.413,115.0,0.96,0.0,2.704,0.04574,0.00222,2.292698,0.166847,76.285222,18.341587,0.0,0.0018,0.0,-0.00918,0.0,-2.0E-4,0.0,0.01391,0.0,0.00439,0.00557,0.00653,0.00803,0.04357,0.09616,0.10454,-99.0,0.0032,-99.0,0.00352,-99.0,0.01102,-99.0,0.00965,-99.0,0.00209,0.00309,0.00244,0.00218,0.00169,0.00379,0.00375,0.28,14,26252,215.131461,52.984913,-99.0,7.55,7.482,7.464,7.465,14,0.0,2926,4,0.038394226273024974,-2.165927978954494,1.087665706688133,4.740116286938244,4.3314916525229386,29.793838699394694,29.535362012065676,29.362717046812314,29.138211136803296,27.30203110016061,26.442513863353337,26.35179376059567,KOV24,true
j142018.78p525654.59,2,8219,215.078259,52.948497,rubies-egs51-nod-v3_prism-clear_4233_927271.spec.fits,rubies-egs51-nod-v3,927271,1,G395M,3,6.7858,6.785,Redshift matches rubies-egs51-v3_g395m-f290lp_4233_927271 z=6.7840,DKo24  z=6.790,1,1.97,0.6,5.29,-2.8,18.0,,42.42,42.55,,,,FITS   zfit   spl,,,26781,215.078252,52.948508,7813.925,5102.086,226.0,0.98,0.0,2.928,0.08491,0.00216,2.917578,0.031437,57.830051,23.340628,0.0,-0.00194,0.0,-0.00542,0.0198,0.01781,0.0,0.01326,0.0,0.01899,0.01604,0.02118,0.02733,0.07984,0.11865,0.10467,-99.0,0.0034,-99.0,0.00396,0.00715,0.00803,-99.0,0.00778,-99.0,0.00189,0.00264,0.00224,0.00177,0.00146,0.00333,0.00264,0.28,13,26781,215.078252,52.948508,6.785,6.785,6.785,6.785,6.785,13,0.0,2927,4,0.04241118285678234,-1.6434597456993238,0.2037635015098893,0.14643580101750892,0.12676480700124712,28.203687588157454,28.38698909012964,28.08518511057133,27.808400920768346,26.64444867930171,26.214330643616606,26.350444439580563,Both,true
j033242.60m274901.50,5,8810,53.177513,-27.817083,jades-gds1-v3_prism-clear_1286_36566.spec.fits,jades-gds1-v3,36566,4,G140M   G235M   G395H   G395M,1,7.9097,7.9097,,KHa23  z=-9999.000,1,0.26,0.6,5.29,0.7,,,,41.52,,,,FITS   zfit   spl,,,40703,53.177515,-27.817086,6114.384,15358.891,74.0,0.94,0.0,3.62,0.00711,8.5E-4,2.325781,0.12647,2.263711,18.606251,-5.9E-4,-7.5E-4,-7.5E-4,-0.0013,0.00509,-0.00631,0.03055,0.01378,-0.00242,0.00627,0.00991,0.00849,0.00636,0.00762,0.00962,0.01594,0.00123,4.7E-4,6.3E-4,0.00396,0.00334,0.00638,0.01871,0.00761,0.00176,0.00127,0.00134,0.00137,8.1E-4,8.8E-4,0.00143,0.00105,0.28,0,40703,53.177515,-27.817086,-99.0,7.75,7.788,8.313,8.442,0,0.0,,,0.01253759098756532,-3.6804385853901964,0.6341872279539817,-1.2796394347564939,-1.001248400220078,29.406831147923207,28.90981586378681,29.077730774390115,29.391357210878965,29.195112571650995,28.942062319905467,28.393779207349766,KOV24,true
j100025.66p022136.17,2,8924,150.1069,2.360046,cosmos-transients-v3_prism-clear_6585_61234.spec.fits,cosmos-transients-v3,61234,0,,3,6.9959,6.996,broad Ha,DKo24  z=N/A,1,11.21,0.6,5.29,2.3,43.7,,43.03,42.66,,,,FITS   zfit   spl,,,79675,150.106895,2.360049,15321.506,25539.729,268.0,0.98,0.0,3.107,0.19464,0.0018,3.500139,0.180774,-77.882271,28.001108,6.9E-4,-0.00177,0.0,-7.4E-4,0.0,0.02674,0.031,0.04705,0.00456,0.02588,0.02708,0.03305,0.04319,0.12496,0.26042,0.22467,0.00186,0.00373,-99.0,0.00414,-99.0,0.0099,0.02042,0.00971,0.00412,0.00379,0.00323,0.00263,0.00171,0.00173,0.00166,0.00125,0.28,10002,79675,150.106895,2.360049,6.996,6.996,6.996,6.996,6.996,10002,0.0,,,0.020978336217932637,-1.4746058008353793,0.5224824441187994,1.5127672434155157,1.3447938726244495,27.867589320008342,27.818378349967233,27.60207134044585,27.311541989881253,26.158072458666936,25.360814163584347,25.521137286734586,Both,true
j141950.66p525217.85,3,9024,214.961071,52.871625,rubies-egs52-nod-v3_prism-clear_4233_26776.spec.fits,rubies-egs52-nod-v3,26776,1,G395M,3,7.2896,7.29,Redshift matches rubies-egs52-v3_prism-clear_4233_26776 z=7.2904,-,0,0.46,0.6,5.29,-1.1,,,,42.44,,,,FITS   zfit   spl,,,30271,214.961073,52.871628,20336.129,5568.655,84.0,0.95,0.0,3.197,0.02276,0.00217,1.992053,0.024468,-44.941974,15.936421,0.0,-6.9E-4,0.0,-4.2E-4,0.0,0.02837,0.0,0.03245,0.0,0.01569,0.01689,0.01009,0.01269,0.01491,0.07739,0.04013,-99.0,0.00345,-99.0,0.00376,-99.0,0.01087,-99.0,0.00843,-99.0,0.00201,0.00341,0.00237,0.0017,0.0014,0.00344,0.00273,0.28,14,30271,214.961073,52.871628,-99.0,7.3,7.394,7.328,7.314,14,0.0,3013,5,0.011641615065996844,-2.7732748239985625,0.7419395999002647,-1.3574756879961383,-0.04181365326987257,28.41094264103266,28.330925876072477,28.890272084407723,28.641345944763238,28.46630589136751,26.67828788335075,27.3913271006654,KOV24,true
j142004.99p525504.05,2,9038,215.020807,52.91779,rubies-egs52-nod-v3_prism-clear_4233_28470.spec.fits,rubies-egs52-nod-v3,28470,1,G395M,3,8.6743,8.674800000000001,Redshift matches rubies-egs52-v3_prism-clear_4233_28470 z=8.6753,-,0,0.64,0.6,5.29,-1.0,,,,42.42,,,,FITS   zfit   spl,,,32310,215.020802,52.917791,13315.278,5869.961,163.0,0.98,0.0,3.824,0.04368,0.00227,3.466641,0.335218,-34.361465,27.73313,0.0,0.00549,0.0,6.1E-4,0.0,0.02111,0.0,0.01093,0.0,0.02344,0.0,0.0,0.02462,0.03476,0.04064,0.06991,-99.0,0.00377,-99.0,0.00395,-99.0,0.01106,-99.0,0.00916,-99.0,0.00477,-99.0,-99.0,0.0023,0.00185,0.00359,0.00344,0.28,34,32310,215.020802,52.917791,-99.0,7.75,8.028,7.99,8.004,34,0.0,3094,3,0.011434763067000246,-0.6212939982296131,0.007327077709303076,-0.6253885975846862,-0.7219000220291637,27.975105981634865,,,27.921779878511757,27.547300580558428,27.377615751810342,26.78865174467748,KOV24,true
j142005.30p525514.83,2,9048,215.022071,52.920786,rubies-egs52-nod-v3_prism-clear_4233_29489.spec.fits,rubies-egs52-nod-v3,29489,1,G395M,3,4.5421,4.542199999999999,Redshift matches rubies-egs52-v3_prism-clear_4233_29489 z=4.5423,-,0,1.97,0.6,5.29,-0.4,36.6,,42.39,41.77,,,,FITS   zfit   spl,,,33303,215.02206,52.920786,12982.656,6033.953,367.0,0.99,0.0,2.901,0.20088,0.00266,3.476441,0.06853,0.858153,27.811525,0.0,0.00307,0.0,0.01907,0.0,0.03535,0.0,0.02299,0.0,0.02941,0.02963,0.03012,0.0929,0.23209,0.14757,0.15967,-99.0,0.00372,-99.0,0.00415,-99.0,0.01019,-99.0,0.00814,-99.0,0.00244,0.00351,0.00304,0.00247,0.00197,0.00394,0.00399,0.33,10014,33303,215.02206,52.920786,-99.0,6.675,5.806,5.805,5.812,10014,0.0,3098,3,0.023875576435384797,-1.6280882510028176,0.22918130416056937,0.0715056930863908,-0.08258683467501021,27.728762438732325,27.72067087129987,27.70286258117834,26.479960715015892,25.485858928679026,25.977504806802514,25.891941686772736,Both,true
j141957.83p525459.49,2,9073,214.990977,52.916524,rubies-egs52-nod-v3_prism-clear_4233_37124.spec.fits,rubies-egs52-nod-v3,37124,1,G395M,3,5.6792,5.672,Redshift matches rubies-egs52-v3_g395m-f290lp_4233_37124 z=5.6826,DKo24  z=5.680,1,5.94,2.44,5.29,,35.0,,42.54,41.81,,,,FITS   zfit   spl,,,43145,214.990976,52.91652,14831.256,7413.453,277.0,0.98,0.0,2.786,0.1506,0.00258,2.978621,0.047536,-48.003994,23.828968,0.0,-2.3E-4,0.0,-0.00114,0.00587,-0.00565,0.0,0.00758,0.0,0.01319,0.01651,0.01655,0.05589,0.12507,0.18045,0.26809,-99.0,0.00282,-99.0,0.0033,0.0082,0.00948,-99.0,0.00983,-99.0,0.00193,0.00297,0.00253,0.00251,0.00179,0.00396,0.00417,0.33,13,43145,214.990976,52.91652,5.672,5.672,5.672,5.672,5.672,13,0.0,3030,4,0.014562693034640299,-1.5954549720275262,0.7994068137767588,0.6733674642680992,0.988905221170815,28.599388011134085,28.355632316843014,28.353005004720654,27.031664725960237,26.1571171253851,25.759107784011185,25.329298463232057,Both,true
