oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux
52.97318,158.7183,249.2481,671.0477,100.2986,71.24939,15.45488
130.9268,376.6992,492.6962,1429.285,286.577,199.5836,29.45511
68.8019,42.14426,286.9095,188.6407,104.7449,76.3035,34.03726
776.5083,249.4688,49.7374,744.3932,96.94077,72.63873,27.56796
33.39867,111.3036,394.5182,753.4958,131.6326,101.3841,19.7489
36.79355,25.83077,36.65773,96.66415,33.59291,30.22404,18.86762
20.2979,18.56791,34.62996,46.27147,20.9476,13.42981,10.85805
393.6738,579.4844,603.8924,2026.191,385.9605,292.663,63.33679
33.64251,66.3017,247.8399,343.1675,82.94385,59.05321,27.8737
40.29336,156.3878,277.8596,776.1882,131.732,94.68962,21.1264
36.76651,204.0573,313.6341,836.8882,128.5366,88.93427,15.53926
35.21147,18.94939,101.3668,80.47441,44.83685,20.99319,8.603622
532.3683,476.7733,277.9699,1586.298,211.0808,150.2468,22.08554
80.11001,153.5979,336.8308,569.7451,189.2198,129.5928,20.09785
222.463,191.2365,494.0532,816.6388,135.1958,115.0331,34.15618
527.6455,207.4718,62.91827,700.4821,102.5723,70.97884,20.33674
535.3282,403.7299,534.6296,1726.547,275.1719,200.7014,53.06527
24.65302,19.86069,34.22906,44.23439,22.0271,10.88587,6.371654
17004.79,3671.86,543.2841,11053.64,747.7441,555.6064,154.0645
123.5949,133.2381,474.2331,618.0786,287.626,205.625,80.1551
22.21828,16.31534,72.75491,58.07101,28.16561,13.07654,9.467385
181.9455,248.7425,244.3326,912.047,208.1198,141.9752,32.79929
21.72079,20.29821,54.25769,76.85062,15.21294,6.960097,7.758323
34.31041,14.65528,73.03683,76.69305,31.33646,20.66354,12.11932
261.8392,671.2663,1094.183,3120.461,552.294,415.5394,72.21241
75.56413,111.4826,408.3515,674.1884,129.2689,107.7748,31.39425
24.4665,95.21034,165.2514,398.4565,75.18038,55.95855,6.74699
19.57649,132.7906,218.4809,545.4734,81.85291,63.189,7.922551
16.51211,47.52489,90.3337,205.3676,42.32428,30.04619,7.522437
661.1039,262.6546,812.9765,1199.642,233.9973,197.1146,52.684
23.99304,83.75886,181.2577,427.2238,55.68008,46.46804,18.57801
14.04526,54.39238,161.2553,365.8916,45.95637,31.82238,12.53791
444.341,309.3069,305.3116,1209.059,160.8467,124.6379,26.94252
22.21588,49.8134,71.00513,180.3591,42.69133,23.17088,6.170172
156.5406,160.9579,509.5888,883.4752,208.5255,150.0581,59.11957
46.11678,36.783,152.0497,114.7411,44.84592,40.94274,16.53485
29.64277,127.8412,298.5406,796.79,80.44508,65.93853,16.36369
211.8178,803.9636,2253.136,4956.979,782.1255,662.1528,131.5161
324.5569,323.2714,997.9182,1622.414,289.5266,242.3676,71.91537
24.74257,50.33294,187.485,250.5491,59.22355,42.83988,16.69174
1904.931,449.9711,1137.74,1514.759,746.6879,699.4528,383.2765
16.45419,11.58548,48.13038,51.97715,8.504833,9.794275,8.156977
23.77215,53.71753,115.0613,226.1669,44.53326,30.12943,6.444916
40.80116,214.0672,612.2996,1414.009,175.1405,137.1423,36.19799
26.07113,22.87837,58.13611,89.23929,20.38055,15.28967,8.755328
160.4772,269.2847,318.5944,974.6529,174.0808,135.2593,19.46437
35.44571,74.25888,196.4678,357.2673,69.34058,58.62738,8.741417
45.57799,28.07654,72.52959,122.4432,59.77824,41.43471,24.58307
246.1136,614.6333,1021.654,2355.319,317.9611,258.5369,47.81472
99.66032,230.6295,241.187,817.2174,170.1589,120.2477,17.87783
28.97099,46.26235,77.24123,204.3911,44.49338,32.08547,6.766541
139.2607,137.5159,275.3106,575.2988,192.1467,138.83,50.0674
53.95729,120.2834,173.4627,575.887,129.5012,95.84293,17.55731
