oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux
575.4194,244.4214,60.70645,776.9097,122.5521,94.20562,24.90608
33.09141,116.6075,180.9633,448.4383,71.50838,54.6764,18.14414
25.48433,84.45431,160.1274,383.1424,56.29087,35.17848,14.79223
82.3074,245.7375,353.7951,1009.691,182.6655,131.3076,24.15459
21.48774,13.20246,60.25763,55.52972,23.41219,16.61875,11.69738
106.0921,279.5823,395.4925,1060.839,232.8558,176.3662,36.29213
448.9753,416.1562,346.3198,1730.379,308.3234,226.6481,63.64362
65.52137,51.59346,177.8778,116.5829,53.09774,33.47871,28.38035
413.4432,323.6975,255.4616,1190.233,254.367,187.5148,48.65471
384.3235,106.7572,573.1853,649.8333,121.2606,96.94935,38.34587
984.3076,774.1432,504.0105,2590.404,439.4195,305.7651,75.82029
178.6612,457.9661,591.9868,1759.125,299.0491,220.6402,31.07445
46.5466,55.67327,122.8425,177.9789,42.45428,39.53331,6.56068
72.81963,241.8122,334.9054,1071.7,202.6373,138.8799,26.15136
14.52001,12.57121,16.77742,34.15369,23.58582,16.21282,8.527045
48.43671,64.02731,149.7027,163.7243,50.61913,43.23203,10.10957
1495.443,801.7179,383.8745,2841.776,357.3233,262.7869,61.90957
41.1332,19.05928,12.46667,41.14957,56.03674,20.76312,6.267719
40.08676,31.52127,22.10034,60.54587,40.07363,32.36593,7.39217
277.9457,101.7935,588.4255,393.6886,216.8406,182.8226,120.1248
82.08143,75.59527,236.332,304.4715,98.11433,79.15749,26.53775
39.48919,206.3303,347.3408,916.3354,112.788,81.83586,20.4227
354.6096,101.4851,440.5485,541.4138,119.9704,92.27222,30.02299
38.20523,94.65443,224.4325,455.1353,96.305,76.70647,18.07265
22.19899,11.92002,51.22694,33.18435,9.934402,6.520817,9.226491
27.38595,54.95794,94.35062,205.3983,20.12817,14.75389,5.241706
75.77097,58.97073,125.5052,119.9675,70.77407,43.48512,11.49618
61.82789,24.89228,139.505,140.3481,63.29857,35.62731,16.51871
1633.932,1913.474,1443.787,7060.633,1002.602,725.5233,107.2733
27.5647,54.60178,92.57658,222.5127,44.74907,36.99088,10.71501
301.651,426.2734,1253.798,2014.092,415.1947,329.861,138.46
33.19404,275.2777,311.8773,1059.738,132.6371,95.20633,10.32534
154.9578,559.8575,1118.733,2789.282,449.4258,340.9645,58.85628
432.5322,426.6041,346.1222,1443.808,245.3124,174.1925,33.02553
24.26869,35.41957,135.3536,217.5197,72.89392,46.24258,20.52545
15.57343,34.30567,87.03941,181.2015,26.20786,19.55408,7.505987
155.397,489.646,646.9887,1824.845,329.5551,228.0617,42.94317
193.3882,272.5896,287.4191,930.1343,165.5619,122.8547,19.51721
31.90115,76.78547,238.5509,451.7252,69.52678,51.2885,19.95206
28.61537,163.6716,198.8933,676.1829,69.1111,53.58714,16.41176
172.5237,173.8293,147.2314,600.9605,124.2732,82.31708,22.56246
188.9333,340.8969,930.2792,1945.546,356.7204,257.4493,64.97579
40.26685,24.64948,63.99466,60.89768,30.03686,19.85003,16.90091
49.20202,160.0494,163.5358,540.7065,122.6999,90.00563,13.08689
274.8314,232.9804,139.0626,672.7736,126.4485,93.35164,19.22241
47.53276,181.7591,266.0898,654.0266,110.6812,80.05931,12.91061
52.63777,185.0649,447.9279,779.8116,113.3157,84.9006,23.06033
14.73882,45.38258,84.99139,199.722,22.52586,15.92534,5.072756
180.9855,125.4226,464.6945,501.1945,162.9796,99.78817,46.29879
285.3118,188.1865,397.3205,710.173,149.4524,105.6054,28.86173
42.21796,127.5229,272.4052,525.7356,95.50661,73.82018,15.99542
20.32219,20.41748,69.06236,72.29031,22.19828,19.99848,6.498962
65.2459,174.443,283.2219,741.4075,74.7599,53.17719,15.12628
24.44754,53.95712,84.24831,208.461,27.81014,16.65338,5.560517
50.02925,30.79203,58.24001,58.24454,23.63835,22.57756,8.497729
38.18348,179.0182,210.9594,599.8008,91.57346,63.90697,14.6729
31.96185,11.20322,38.40752,47.24343,11.51783,8.506265,16.56651
32.02935,45.05206,175.4711,217.3338,50.53273,29.89288,18.33002
24.49683,20.71893,123.5686,77.11435,39.07923,26.29784,9.686706
25.97642,104.3207,190.0893,428.7078,57.36465,36.53768,12.6239
32.23084,95.68594,132.2298,396.182,70.97759,51.78273,13.18706
4917.386,1342.699,585.6268,4121.742,329.1217,260.3319,105.1519
22.47209,11.38971,51.53007,36.52053,14.78099,11.31708,7.169654
2402.802,980.3995,258.7996,3012.822,223.5223,165.955,18.90887
3919.087,922.7254,97.67301,2495.386,218.1057,153.7282,52.06297
16.49916,6.137901,64.66789,29.07066,10.27919,9.503987,5.671387
409.5784,290.6125,130.4975,876.613,136.3315,98.50385,15.77639
26.28058,109.4213,200.8738,395.1569,51.92693,47.68478,7.381915
584.2671,455.5439,1294.686,2660.822,389.6855,291.0027,87.13535
24.52156,8.347444,54.66648,37.16381,25.18084,15.95852,5.769941
356.3776,53.71614,545.1559,315.3682,85.98051,58.57888,45.04954
35185.6,6165.271,634.8045,18826.07,905.5451,670.798,190.159
169.7092,326.563,1065.339,1622.975,341.3338,228.8317,85.00872
39.76225,94.4595,219.2615,538.0966,87.693,61.68102,10.61037
399.4013,171.9167,575.9487,802.8353,126.6954,89.2442,39.99321
94.98922,20.60268,338.8182,202.5536,89.30273,75.54424,26.20621
98.71688,200.2808,274.51,826.4523,178.8137,115.8812,24.94355
30.34342,153.7124,376.2142,709.2859,96.46736,84.55489,12.47422
640.2269,593.1421,631.1713,2272.267,300.9285,237.3059,37.14375
31.86152,103.5938,121.2179,364.5078,67.15971,49.23558,9.424536
122.5723,446.2913,627.2039,1662.03,258.804,229.0508,37.87879
131.994,256.0508,289.4461,1060.084,230.3162,159.2376,25.77282
160.4553,293.8628,464.6815,1323.789,301.1549,217.4577,46.12681
62.05691,240.0059,338.0386,946.7169,137.3031,98.88677,18.88562
411.1053,608.2367,864.7127,2225.444,312.1832,242.8654,47.07833
50.26352,25.59967,62.85249,74.85246,31.44475,11.8426,8.278606
51.24829,25.31694,108.0443,77.4452,34.55394,25.36431,12.46599
590.5204,664.3188,644.0632,2376.31,386.226,297.6183,38.92366
62.96598,36.11967,113.6972,149.6666,41.24506,27.77135,5.108659
2406.323,857.8055,277.5421,2622.796,297.4673,202.3684,49.15133
34.1652,12.26575,53.85389,60.04623,32.14563,22.78465,8.628323
33.0561,33.22515,104.8911,142.0881,38.29313,21.67947,11.94721
221.4087,130.9951,1127.602,976.0558,552.0861,420.5924,166.2958
148.2567,420.9108,1242.424,2144.138,334.2155,303.4402,60.84957
19.14626,93.08458,159.1053,459.3142,59.27966,38.95091,13.5118
52.16266,15.38133,113.3097,84.37975,38.91455,13.04823,17.53713
18.55798,17.91642,47.27271,61.48965,20.75381,14.04485,8.03281
223.5127,312.3667,796.7053,1707.272,222.2809,185.4193,41.92959
216.0614,56.86287,227.3476,218.082,49.74186,32.69144,17.72819
142.552,168.0591,385.3383,760.4133,99.33338,97.82887,26.66072
93.77573,27.50829,160.7823,150.2748,62.60648,48.51745,23.60702
82.27448,356.7303,930.4221,2374.223,347.0422,280.963,36.77108
33.53608,91.53969,191.6186,485.4546,50.81565,40.41875,9.364489
116.7514,207.2184,184.6279,682.3551,170.5466,112.6722,22.29552
49.43191,28.02057,87.56618,106.9842,38.05465,38.52974,9.356839
193.7962,384.6244,602.5956,1573.667,310.0702,232.8745,62.39772
36.80231,147.9222,360.0247,822.6495,91.45166,70.66813,16.12241
133.7543,276.5757,299.0742,999.5256,191.8688,140.564,30.62668
36.39106,21.01987,77.91114,88.39503,33.01596,33.70494,9.313116
153.7061,374.7469,462.6129,1446.511,261.3038,178.8392,34.23348
25.87376,110.6519,231.0458,605.0273,68.02313,43.22243,7.273677
25.6921,115.4886,186.3934,546.6823,91.87948,64.73183,19.99838
111.1557,49.51918,223.5676,176.8576,135.6932,92.15495,25.62503
247.7461,203.4259,153.7148,758.9811,165.5435,117.2594,23.57804
23.42634,34.01376,84.42345,147.7437,54.46377,40.72102,5.806477
79.38523,128.535,368.5467,722.201,116.1941,99.43908,30.79088
17.40205,79.46522,140.5174,395.0715,54.14405,53.93979,13.60452
37.93227,121.5779,217.0588,458.7205,65.46955,37.93967,10.4282
229.1534,553.2176,1051.771,2738.551,415.3656,317.2548,61.93922
60.86133,226.2922,404.216,925.2759,138.5163,107.3012,28.64926
81.62863,12.75395,158.9941,107.3082,54.75912,41.19433,30.53129
188.4701,50.25912,295.1318,216.4105,83.33741,63.71681,18.58629
22.17376,24.67514,91.07083,151.1181,33.21765,25.11258,8.320098
47.58714,254.5378,398.2846,1110.838,188.6428,136.4059,28.4985
69.91512,41.68718,86.23678,153.5898,60.92794,38.44109,13.10261
16.10415,83.188,155.2629,386.6819,46.36205,46.98377,8.823608
65.55311,236.447,480.533,1334.51,197.2489,123.8579,27.77592
88.53471,175.1373,740.5122,1205.927,245.3333,195.1125,51.41225
38.03152,100.5104,222.0996,454.8594,83.99902,69.50808,10.1723
24.34189,98.74533,172.0767,396.155,65.0567,55.96817,22.42484
46.19754,35.53423,150.4996,165.4603,39.80696,39.9638,13.54671
11.40295,14.00831,53.82923,50.45084,13.02212,14.55136,6.055725
58.99589,255.4565,532.8928,1345.807,195.8056,148.0232,31.39783
71.43285,286.7097,482.8944,1310.166,240.7487,174.9228,23.15085
784.5645,490.6924,255.2563,1677.993,267.4149,184.7237,35.85873
1013.392,1047.086,1169.458,4437.922,511.8204,407.7462,49.66694
39.64294,73.01859,226.3008,355.2727,64.87938,53.1833,22.86211
48.34599,14.08749,23.8207,34.13674,21.42862,9.08645,7.922489
106.8375,45.02504,214.8709,230.2173,125.57,99.12139,31.6282
25.99181,24.03639,103.9277,72.88557,35.94462,16.13463,13.24795
1009.509,741.5186,783.6028,2665.5,379.2256,291.0979,77.22908
135.0027,72.56707,347.4439,341.9523,98.06201,92.06956,29.1355
111.4425,126.8327,322.0626,592.8591,106.0997,77.75932,21.21
56.26541,25.48377,99.88329,98.49387,53.82111,30.40802,19.82169
946.0238,433.2956,173.8269,1349.741,231.7415,164.2611,43.37666
1485.509,386.1893,2058.439,1945.398,713.8229,639.904,254.2032
34.99812,116.1061,170.6993,515.2936,87.06683,65.36189,13.91252
252.4709,156.3802,397.0048,607.4354,123.5271,90.93202,35.33812
76.35986,43.6216,190.4915,134.0299,86.3344,46.07683,33.65939
198.7637,155.7938,603.9976,754.4373,151.6004,133.3796,52.63057
16.9734,11.27479,52.08759,38.58903,20.39906,7.618065,8.16638
493.6323,111.1655,569.0818,544.2759,201.5854,182.6611,69.36322
90.86065,218.5645,384.5337,773.1021,195.3316,137.5721,30.29597
277.8159,97.00831,308.691,397.9373,97.2061,76.48948,28.79236
173.8376,53.39825,218.9588,328.63,63.41751,45.0608,13.30893
30.90168,62.69338,146.4675,231.5924,52.19752,35.30118,9.21725
2104.06,631.3893,128.2376,2020.173,236.2504,163.5194,59.2179
691.4235,544.1794,805.4398,2168.71,180.5915,148.7063,38.75536
218.0919,258.6294,145.1545,659.2173,142.857,93.98099,17.87765
117.1778,412.508,547.4977,1573.307,278.8583,190.3863,35.32419
491.2226,248.0457,65.41313,560.3433,97.49957,68.96397,20.41493
50.76685,16.02382,76.59333,97.88103,28.23685,24.14611,18.77705
178.7838,273.2441,1011.527,1112.41,354.3725,274.881,118.6474
106.1448,45.38268,180.6556,213.6949,73.52421,50.31249,25.3529
1287.444,668.4753,306.8103,2392.599,334.8889,236.3771,43.6901
28.24862,13.63702,39.276,46.50706,15.91913,13.15691,6.737249
105.5097,231.7956,302.3557,866.7458,142.3888,100.4247,24.48144
55.39838,48.0839,59.01286,90.60249,47.7161,20.52225,9.872572
44.6666,54.64011,126.2076,117.1661,17.05773,14.00111,9.021899
28.55878,27.18298,76.25812,81.88837,28.13991,19.82997,15.14724
276.3651,247.8338,157.5867,753.3732,155.4751,110.8667,27.52281
64.29649,197.7428,331.4844,878.1882,119.1689,87.40974,27.88383
43.16029,188.8634,485.1591,1052.632,120.9882,98.67095,26.51201
924.8297,371.0399,122.4961,1160.433,178.2491,121.1588,30.76448
110.9551,132.506,398.9044,525.8935,184.7659,136.8241,54.12807
94.29572,176.9175,477.513,1105.63,275.0904,206.0863,46.87398
18.88503,9.712099,35.69569,36.24594,15.43134,5.72128,7.197875
156.9417,129.5089,364.9508,607.1368,143.3171,120.0475,27.77938
19.36382,7.442836,36.18527,27.6087,14.24285,7.747489,5.680758
1688.849,609.1465,214.0553,2057.454,271.8297,190.9945,56.8699
24.31508,47.02466,62.59478,168.5513,32.71851,23.54516,6.637207
30.8678,9.547219,57.37038,60.90323,26.90695,12.57931,13.32848
34.22919,166.7593,440.847,813.1885,127.0337,107.7601,21.74618
27.82977,75.72083,167.7983,336.3422,74.97939,56.26748,14.19574
24.49903,8.178907,25.86248,23.76471,12.56314,16.01738,7.285336
27.98015,13.35517,58.53611,45.48985,35.91783,15.21368,5.236392
23.51993,52.78374,107.8108,251.3907,43.61744,30.20383,8.980586
201.0995,327.4517,685.8855,1382.594,222.3615,178.1479,34.86963
33.80562,25.50718,66.61099,51.17859,26.51765,22.97053,8.372986
52.35191,35.74885,174.7336,143.8768,86.24592,53.25075,27.10314
34.75146,175.2445,262.3434,745.4966,119.4991,85.90973,16.02301
35.33326,15.9574,42.08081,36.55515,18.34269,10.84384,5.902675
48.20422,42.46762,117.0291,109.5187,46.43899,27.03267,5.104891
176.7543,111.2034,209.0114,265.7087,96.23579,77.55562,44.58686
22.42045,105.8767,143.6667,371.3786,60.60295,47.64936,9.712314
130.5701,35.5944,63.12643,112.7137,37.61161,22.08312,5.086097
41.67219,155.7906,298.4852,802.3995,135.3954,101.7735,22.73601
24.34512,12.97835,31.2283,38.36786,17.75386,10.54152,7.254505
13.62442,23.0173,55.40775,93.48261,18.44307,14.43184,5.806724
20.46957,74.92806,112.1413,276.5605,40.89285,32.32271,9.793021
29.28428,73.00674,203.8507,441.5044,93.15121,59.88281,16.044
20.80098,8.413357,29.99064,28.04616,18.48852,12.00896,5.973252
3289.229,889.4692,331.5544,2798.067,289.7128,216.3905,67.31547
773.7283,139.3607,721.5139,759.1016,159.145,144.5249,56.57443
134.4651,37.02356,220.373,208.0668,58.56377,42.42817,20.37808
15.58098,66.21749,101.2437,252.5277,39.21843,31.54961,9.121146
20.96375,15.36264,76.72916,113.0134,28.55215,18.83042,8.291399
21.70694,36.34863,84.03867,136.3085,51.49934,44.63157,13.21836
2183.818,591.0688,95.45411,1753.5,172.6123,124.7033,29.32975
18.40524,10.78969,33.98149,29.15108,14.72536,6.426637,7.636696
24.05977,12.86051,63.44049,49.88953,27.54199,24.95404,7.385767
78.96179,114.0269,119.2393,399.0119,69.20862,53.92806,9.524604
46.96309,284.6658,574.0514,1379.213,153.7589,121.7024,20.55051
42.54885,68.63573,59.52177,238.5811,57.49709,38.21273,5.94961
22.82249,88.78236,149.6319,341.6184,47.83415,37.27939,12.51101
93.88316,59.08947,370.2016,213.7847,149.0698,92.67939,57.66435
54.444,188.2068,247.9467,680.705,133.371,92.46547,16.40495
19.48566,59.21877,96.43374,241.6631,38.07682,26.73794,5.672012
78.01813,48.89516,128.3915,103.501,57.52375,25.96405,8.626095
313.1203,301.3548,255.2321,1000.048,164.7654,118.8756,28.02159
60.57072,275.0936,473.8253,1313.115,222.5583,156.9972,33.2635
9.664328,23.62004,74.70697,104.4606,12.90272,8.926631,7.929109
39.64552,22.9742,53.69299,44.76088,21.80792,16.99447,5.801565
39.19316,7.634815,132.4623,78.27053,28.95726,31.54445,13.89631
21.24257,19.68614,28.42011,75.84457,41.69283,20.59864,10.52465
24.46284,80.15477,157.8785,379.7093,42.07745,28.23666,13.57066
31.29072,74.83176,125.2089,286.8503,64.17566,46.49593,11.54952
19.20722,81.31802,128.5853,350.3564,56.20911,42.67341,7.642694
29.47257,140.7827,200.6499,557.7372,87.59802,60.86589,14.49168
24.25317,14.90161,44.83607,30.91825,12.91241,7.061157,5.311375
37.10132,26.97682,101.9317,82.20609,27.07932,13.80669,8.995473
53.78671,95.01908,167.61,273.6653,60.42134,49.73254,9.666451
50.67075,142.4934,315.9505,619.1016,138.6124,98.19804,24.96332
49.24234,161.1821,398.9337,701.6339,113.1523,92.03472,22.41591
325.8312,365.2632,1013.484,1118.678,757.3986,612.65,363.4258
26.70011,15.30998,46.26244,35.31718,20.584,8.564243,7.18097
131.16,59.15794,176.8733,243.295,137.2717,93.11819,50.18149
84.91806,480.8228,930.5041,2045.778,318.288,239.1989,37.78811
304.7388,244.8714,964.9298,1211.114,398.4598,318.1958,98.31661
67.30758,268.7922,578.5143,1396.731,213.2299,166.1803,41.07132
2309.798,458.427,2116.616,1998.027,465.7565,382.7342,136.7691
34.58061,23.56947,78.2276,83.25339,23.22381,14.35083,12.79155
28.7216,30.99101,76.39006,58.60127,12.85107,24.19902,8.952336
805.895,237.4129,600.0786,973.8773,162.6649,152.3847,114.7299
28.3029,84.48072,131.1464,284.2584,64.15624,43.52073,10.05985
74.55825,226.5765,436.6224,995.9656,121.5,98.15489,16.25639
24.15027,20.33511,73.73418,66.8023,22.55275,13.93665,5.384051
22.31455,69.854,133.3532,303.6866,45.6495,36.21675,8.864017
34.25543,10.88089,30.88392,50.81578,25.07723,5.831217,10.23119
67.93123,33.7346,140.0918,110.757,78.34193,39.11024,23.65642
3853.161,1054,326.6151,3365.804,291.17,210.8676,54.81825
151.833,512.0906,2397.407,3289.689,494.1541,487.9116,99.21931
29.42192,36.8479,99.13623,113.7854,54.14173,37.2334,5.378682
34.14858,32.07271,109.0916,126.7579,40.43115,26.54882,18.45808
47.98655,12.42042,127.1278,81.59602,21.09118,20.67461,9.781132
48.90908,23.9047,72.63258,77.7281,26.56063,22.61773,16.83244
16.64495,30.94439,37.82632,44.37514,11.4482,10.13552,5.003564
40.79605,24.92266,57.78251,52.16083,21.47834,16.54396,5.775405
478.6182,454.1896,827.3738,1618.506,394.4325,304.344,80.06281
77.40092,89.08668,162.3886,270.3903,121.3,81.19089,30.93172
33.78795,97.13031,305.1676,515.4531,103.3393,82.64706,16.85937
30.66968,33.47986,54.49296,74.39242,36.86692,14.74721,5.463626
58.26892,51.06372,105.2209,165.9816,67.55217,49.39913,22.6482
25.95177,18.12924,83.29877,79.45873,19.96564,7.270714,17.3262
508.5321,306.9055,189.8901,1025.834,209.219,149.1851,45.44167
32.91349,74.81964,155.7483,267.7433,54.98404,42.1468,11.03855
24.17885,10.39599,81.86333,37.84066,25.0104,36.90298,7.240005
25.75628,13.77182,52.97247,69.83205,28.14795,11.90559,8.196942
92.7403,82.5377,102.7658,209.0983,76.70413,47.05951,10.70039
60.377,51.03531,88.99917,143.2505,72.32761,41.02348,25.20835
168.1385,99.54652,242.1437,353.463,197.1428,148.2293,105.9802
34.6551,9.306803,48.90482,34.1672,28.17319,7.283992,10.16382
76.68264,44.68034,193.6579,164.3482,62.52931,42.95979,13.93874
34.50797,16.18117,32.23051,70.44722,40.72742,10.64407,15.62062
2978.478,1037.703,377.9532,3919.983,449.8404,323.5262,96.10426
21.28519,81.58212,133.8867,364.325,33.96657,27.31529,10.97629
41.00426,22.77353,79.38891,83.67403,39.763,30.60299,17.4488
38.87296,23.87883,84.09227,77.56494,33.33577,15.04758,10.35379
18.55521,72.33817,102.2934,271.7585,42.39046,32.85186,7.704904
21.34986,10.05506,22.67467,19.66336,7.790071,7.534456,5.901103
634.6597,292.9961,118.1807,921.9489,161.8036,115.4201,23.03912
42.07407,14.94346,99.96857,60.32826,48.6968,10.50621,13.4455
1498.995,915.6072,638.3564,3024.263,426.8734,314.1619,45.75394
162.7565,48.33192,232.3721,191.1402,68.44585,57.97197,24.83863
318.0301,247.4933,482.0013,927.9291,265.8867,201.9845,56.42731
31.85464,23.79453,122.5031,89.16476,59.95919,34.87781,11.53367
282.8956,79.35348,319.2292,332.3971,67.76145,40.53131,26.64081
59.82649,41.95542,328.0602,126.1269,68.19435,64.66107,36.66906
170.1805,139.9542,680.2707,761.8088,283.5529,228.9996,98.54196
46.02442,27.23024,91.61169,91.94116,48.36012,44.57212,30.52539
44.56366,35.71592,143.8876,120.7994,58.16367,41.09312,7.572742
39.13969,7.527598,40.84358,40.70914,15.62864,9.438122,6.037277
15.3903,13.14676,55.3414,56.00245,24.74302,18.37071,13.17841
52.1353,283.6906,573.0054,1483.072,222.4783,164.3453,31.27449
123.3906,110.8196,87.24357,365.7494,95.54922,61.38881,14.65106
37.33965,82.04348,105.0895,304.3957,68.57684,47.2124,11.41432
40.80352,21.60722,122.4253,84.5119,39.62846,24.32855,15.7527
18.45204,86.26997,110.7925,332.2922,42.11846,36.54597,10.51979
19.06477,55.1894,100.6394,213.2882,43.98326,34.30737,13.19056
41.16352,15.10264,51.5836,36.57595,14.80561,5.36257,7.788035
387.5577,71.40604,556.928,314.6821,136.8686,103.6273,62.76651
97.97036,53.27695,346.6189,302.0737,105.1582,71.70776,53.74712
42.97124,57.05888,146.1652,249.2169,43.63626,27.523,5.421567
26.82472,20.76521,102.8175,99.35101,41.84304,22.48445,13.78662
94.41527,26.75385,110.2971,86.2597,31.25459,28.16968,8.823661
99.35645,30.37532,324.5966,177.1807,80.74532,71.95928,29.62747
131.1691,506.646,1337.182,2456.367,338.0641,268.0592,62.34451
912.1808,348.3589,95.92824,1095.523,163.4459,109.7237,32.06968
133.0347,96.85205,272.2801,372.8747,211.5353,125.2068,105.5816
25.96569,70.01634,120.7008,310.0768,48.07852,37.6184,9.648542
475.7606,319.8855,199.0223,1159.975,223.7941,166.8714,45.88219
82.58121,101.445,415.6192,424.7652,162.6103,113.817,31.02572
930.8387,515.1597,283.6812,1759.167,316.8871,223.8944,68.60539
47.86443,336.2065,664.2857,1965.125,241.8138,183.5031,49.10122
21.18475,17.97257,33.0614,64.20161,26.10112,20.50539,8.108891
147.3626,298.4066,480.6078,1257.089,204.7298,153.7199,34.24607
62.72944,42.36158,110.9262,192.2095,67.4338,45.75074,15.25278
13.90754,14.64019,87.37784,52.67403,14.00769,12.12646,14.31604
30.42239,150.0682,218.0256,645.4239,71.87653,50.31441,8.306251
3774.815,378.3862,1340.348,1446.492,435.8562,481.2319,168.5739
33.84328,16.76431,57.63264,57.18985,28.15142,15.57968,5.596227
130.1604,255.6033,670.0682,1383.141,239.6816,192.0128,49.98363
189.015,479.7592,789.1339,1872.194,251.0888,188.9809,27.39831
34.84237,84.6207,127.0304,318.5036,75.21272,46.43694,14.2866
47.7816,161.665,466.6957,840.0933,179.3654,134.1977,29.05377
24.53522,15.3749,94.94762,65.60261,42.35338,26.73056,12.39325
1620.03,202.7437,892.4273,862.8723,337.5179,272.6204,167.992
43.16834,16.86084,35.56733,66.69151,36.48739,23.30848,11.0537
15.15347,43.9267,106.3626,173.4316,34.38112,29.65736,5.285684
46.33846,86.62365,195.4913,415.7502,64.96893,41.2597,16.68373
34.846,105.1785,243.7103,507.0617,105.7046,77.45535,21.87402
26.90019,9.238199,31.49246,49.11544,23.94168,15.75099,5.173175
44.27169,28.46815,127.5842,90.75256,42.08273,40.32493,20.31844
109.9501,217.7402,624.8351,978.6571,156.1316,128.1243,34.17907
22.42454,37.14165,89.82409,104.3043,17.48164,14.5307,9.585376
46.60543,29.01387,76.75006,67.05416,30.42754,14.23682,17.72065
13.9766,63.40055,102.0518,282.523,38.78564,26.93975,7.587985
21.51988,36.37468,93.51202,145.747,35.13941,23.79323,7.693244
27.78079,112.4315,230.2322,543.1527,66.45847,51.9955,15.65668
38.30826,18.05697,75.12552,59.41156,36.16278,20.01339,16.54375
617.0035,305.959,192.2283,1089.713,186.1209,132.034,29.47806
25.86489,61.79893,83.58838,195.538,53.44054,36.26368,12.07373
20.1656,24.05784,85.47974,101.2698,34.58689,20.67251,6.279186
18.0461,82.08266,130.8336,345.2469,49.06827,35.05334,7.993893
29.79713,17.26589,42.75046,60.53873,23.81741,15.96852,6.174676
47.5685,14.15722,102.1789,69.45082,21.5618,9.648673,6.478166
118.9137,372.6817,585.2626,1536.34,262.9309,196.8687,25.48509
33.61934,7.765628,68.9563,49.18899,23.67356,18.24602,6.762601
915.593,141.1609,632.954,528.4026,254.3894,223.8803,114.5946
1007.647,629.1323,389.4906,2048.301,294.471,230.0029,56.43911
75.03841,10.60732,54.84187,41.84538,22.56939,15.39255,6.552702
33.4939,35.30949,68.33044,71.72705,25.14928,24.23709,11.40505
2233.187,672.6885,118.9681,1964.734,224.9209,158.8811,47.18585
26.30557,25.49712,65.94448,51.55166,17.30487,8.409919,17.91609
140.0046,425.7855,923.8898,2084.193,277.4349,223.9527,29.44894
421.9906,496.2172,477.4184,1833.106,328.0893,242.7833,40.85402
94.87369,64.19732,197.4796,281.9521,65.07546,56.26191,17.03018
128.3272,233.8072,717.7206,1564.009,178.5756,138.692,32.14922
12.57441,45.62377,83.37724,194.8422,29.97366,18.73851,5.503151
22.88909,91.14017,124.8906,345.3217,59.53795,42.63044,8.559836
30.8654,6.455678,57.00161,41.43688,30.14267,19.99863,15.22009
30.22454,83.6672,191.5936,350.857,82.19732,57.07413,17.52114
374.3097,696.1678,853.2374,2871.136,430.666,317.5844,55.35864
227.1065,44.71,395.549,224.1119,124.0401,107.6963,56.12193
186.0308,339.3401,431.5114,1386.042,251.3269,174.7674,40.1102
27.00222,21.84708,98.33736,65.40678,26.44329,23.17692,10.11929
18.50257,25.36555,99.53443,106.8948,35.96357,28.17598,7.196329
87.68578,275.463,396.7701,1128.23,201.2516,146.5638,21.07163
84.5844,143.1225,302.0531,597.5737,134.9748,111.0957,26.94341
144.0847,58.45096,380.161,255.0452,153.409,124.1453,47.78719
60.96188,27.41848,124.6817,84.88167,62.29452,29.44628,29.71558
59.0766,52.30317,129.8477,110.656,58.91586,49.59626,15.46978
42.87024,19.68362,105.8341,109.5025,23.54725,17.55141,12.4522
60.94911,262.3405,576.8316,1373.149,171.886,137.7177,31.69224
26.88064,10.1049,29.10863,41.6053,8.31862,6.68462,9.638205
81.04739,157.4976,159.2546,550.676,103.2831,71.51447,9.972733
45.43777,29.8719,205.139,120.1563,79.80102,57.11093,17.88308
15.98437,21.72989,13.87778,32.63246,6.588531,8.528383,13.1373
64.31664,37.40401,115.1846,117.9692,61.64236,42.11782,11.24035
38.03848,24.05798,74.15219,74.12496,25.95945,19.0233,10.7793
69.8553,223.4348,526.7003,1075.161,183.5387,151.5706,28.78201
129.7562,258.2518,262.5663,926.0071,172.8891,124.4853,26.62533
83.79934,139.8229,422.7905,793.8488,187.5686,142.6779,41.84496
23.16178,34.67123,83.97836,134.2717,40.92606,26.29235,11.33348
37.12416,91.2479,132.829,395.2485,107.605,73.66146,17.46005
14.67843,12.62065,38.06089,31.36496,13.19109,12.18605,8.12366
995.3081,870.6878,848.9033,3722.096,593.5649,406.9106,93.87411
133.1553,366.4497,537.0542,1508.692,268.6761,189.3078,33.61266
41.55182,15.59571,183.0549,99.24139,75.21489,58.1531,24.27057
157.989,331.8241,410.4663,1356.96,289.7624,202.2396,41.12904
21.56564,35.60764,103.4391,158.129,40.04286,21.40567,11.86554
419.2386,325.8957,253.1698,1160.3,191.0061,138.8419,37.59979
67.7504,238.5567,553.9588,1057.353,180.5315,152.6409,43.38668
113.2257,253.906,617.2921,1263.254,212.9291,168.633,36.24643
473.5633,447.2757,889.0729,2423.47,310.4883,309.6915,48.46254
56.184,186.5231,422.6107,861.3157,123.2681,102.3984,18.4783
12.89418,35.5681,89.54777,144.1638,15.60996,10.2457,7.998927
28.15496,7.075375,62.86437,37.98805,13.17238,7.200463,5.786326
17.63873,25.89972,74.88949,128.3341,24.68343,13.48614,6.665998
38.80847,37.47409,102.9192,64.8586,41.80339,21.17509,6.071379
3914.284,1611.896,492.2145,5392.362,379.9504,286.4731,36.2314
