# %ECSV 1.0
# ---
# datatype:
# - {name: id, datatype: int64}
# - {name: redshift, datatype: float64}
# - {name: hst.acs.wfc.F435W, datatype: float64}
# - {name: hst.acs.wfc.F435W_err, datatype: float64}
# - {name: hst.acs.wfc.F606W, datatype: float64}
# - {name: hst.acs.wfc.F606W_err, datatype: float64}
# - {name: hst.acs.wfc.F775W, datatype: float64}
# - {name: hst.acs.wfc.F775W_err, datatype: float64}
# - {name: hst.acs.wfc.F814W, datatype: float64}
# - {name: hst.acs.wfc.F814W_err, datatype: float64}
# - {name: hst.wfc3.ir.F105W, datatype: float64}
# - {name: hst.wfc3.ir.F105W_err, datatype: float64}
# - {name: hst.wfc3.ir.F125W, datatype: float64}
# - {name: hst.wfc3.ir.F125W_err, datatype: float64}
# - {name: hst.wfc3.ir.F140W, datatype: float64}
# - {name: hst.wfc3.ir.F140W_err, datatype: float64}
# - {name: hst.wfc3.ir.F160W, datatype: float64}
# - {name: hst.wfc3.ir.F160W_err, datatype: float64}
# - {name: jwst.nircam.F090W, datatype: float64}
# - {name: jwst.nircam.F090W_err, datatype: float64}
# - {name: jwst.nircam.F115W, datatype: float64}
# - {name: jwst.nircam.F115W_err, datatype: float64}
# - {name: jwst.nircam.F150W, datatype: float64}
# - {name: jwst.nircam.F150W_err, datatype: float64}
# - {name: jwst.nircam.F200W, datatype: float64}
# - {name: jwst.nircam.F200W_err, datatype: float64}
# - {name: jwst.nircam.F277W, datatype: float64}
# - {name: jwst.nircam.F277W_err, datatype: float64}
# - {name: jwst.nircam.F356W, datatype: float64}
# - {name: jwst.nircam.F356W_err, datatype: float64}
# - {name: jwst.nircam.F410M, datatype: float64}
# - {name: jwst.nircam.F410M_err, datatype: float64}
# - {name: jwst.nircam.F444W, datatype: float64}
# - {name: jwst.nircam.F444W_err, datatype: float64}
# schema: astropy-2.0
id redshift hst.acs.wfc.F435W hst.acs.wfc.F435W_err hst.acs.wfc.F606W hst.acs.wfc.F606W_err hst.acs.wfc.F775W hst.acs.wfc.F775W_err hst.acs.wfc.F814W hst.acs.wfc.F814W_err hst.wfc3.ir.F105W hst.wfc3.ir.F105W_err hst.wfc3.ir.F125W hst.wfc3.ir.F125W_err hst.wfc3.ir.F140W hst.wfc3.ir.F140W_err hst.wfc3.ir.F160W hst.wfc3.ir.F160W_err jwst.nircam.F090W jwst.nircam.F090W_err jwst.nircam.F115W jwst.nircam.F115W_err jwst.nircam.F150W jwst.nircam.F150W_err jwst.nircam.F200W jwst.nircam.F200W_err jwst.nircam.F277W jwst.nircam.F277W_err jwst.nircam.F356W jwst.nircam.F356W_err jwst.nircam.F410M jwst.nircam.F410M_err jwst.nircam.F444W jwst.nircam.F444W_err
8924 6.996 6.9e-07 1.8600000000000002e-06 -1.77e-06 3.73e-06 -99.0 -99.0 -7.4e-07 4.139999999999999e-06 -99.0 -99.0 2.674e-05 9.9e-06 3.1e-05 2.042e-05 4.705e-05 9.71e-06 4.5599999999999995e-06 4.12e-06 2.588e-05 3.79e-06 2.7079999999999998e-05 3.23e-06 3.3050000000000004e-05 2.63e-06 4.319e-05 1.71e-06 0.00012496 1.73e-06 0.00026042 1.66e-06 0.00022467 1.25e-06
9038 8.674800000000001 -99.0 -99.0 5.49e-06 3.77e-06 -99.0 -99.0 6.1e-07 3.95e-06 -99.0 -99.0 2.111e-05 1.106e-05 -99.0 -99.0 1.093e-05 9.16e-06 -99.0 -99.0 2.344e-05 4.77e-06 -99.0 -99.0 -99.0 -99.0 2.4619999999999998e-05 2.3e-06 3.476e-05 1.85e-06 4.0640000000000004e-05 3.59e-06 6.991e-05 3.44e-06
9048 4.542199999999999 -99.0 -99.0 3.07e-06 3.7200000000000004e-06 -99.0 -99.0 1.907e-05 4.15e-06 -99.0 -99.0 3.535e-05 1.0189999999999999e-05 -99.0 -99.0 2.299e-05 8.14e-06 -99.0 -99.0 2.9409999999999998e-05 2.44e-06 2.963e-05 3.5100000000000003e-06 3.012e-05 3.04e-06 9.29e-05 2.47e-06 0.00023208999999999998 1.9699999999999998e-06 0.00014757 3.9399999999999995e-06 0.00015967 3.99e-06
9073 5.672 -99.0 -99.0 -2.3e-07 2.82e-06 -99.0 -99.0 -1.1399999999999999e-06 3.3e-06 5.8700000000000005e-06 8.200000000000001e-06 -5.649999999999999e-06 9.48e-06 -99.0 -99.0 7.58e-06 9.83e-06 -99.0 -99.0 1.319e-05 1.93e-06 1.651e-05 2.97e-06 1.655e-05 2.5300000000000003e-06 5.589e-05 2.51e-06 0.00012507 1.79e-06 0.00018045 3.96e-06 0.00026809 4.17e-06
9530 6.8755 -99.0 -99.0 4.3e-07 3.71e-06 -99.0 -99.0 1.43e-06 4.06e-06 -99.0 -99.0 6.56e-06 1.1979999999999999e-05 -99.0 -99.0 3.42e-06 1.031e-05 -99.0 -99.0 2.069e-05 2.2200000000000003e-06 2.0889999999999998e-05 4e-06 2.319e-05 3.28e-06 1.594e-05 3.0200000000000003e-06 4.02e-05 2.03e-06 6.399e-05 4.33e-06 3.828e-05 3.0799999999999997e-06
9590 7.156 -99.0 -99.0 1.06e-06 3.7499999999999997e-06 -99.0 -99.0 6e-07 3.99e-06 -99.0 -99.0 8.210000000000001e-06 1.222e-05 -99.0 -99.0 6.82e-06 1.078e-05 -99.0 -99.0 6.72e-06 2.29e-06 6.49e-06 3.3999999999999996e-06 6.9e-06 2.8500000000000002e-06 1.306e-05 2.08e-06 5.887e-05 1.79e-06 0.00014304 4.2900000000000004e-06 0.00014832999999999998 3.64e-06
9615 6.954 -99.0 -99.0 3.5100000000000003e-06 3.63e-06 -99.0 -99.0 8e-08 4.12e-06 -99.0 -99.0 7.01e-06 9.75e-06 -99.0 -99.0 -2.84e-06 9.04e-06 -99.0 -99.0 8.81e-06 2.17e-06 1.133e-05 3.04e-06 1.008e-05 1.75e-06 9.21e-06 1.99e-06 2.064e-05 1.6000000000000001e-06 3.5589999999999996e-05 3.79e-06 3.7810000000000006e-05 2.2499999999999996e-06
9618 6.13 -99.0 -99.0 -1.35e-06 2.8900000000000003e-06 -99.0 -99.0 -4.37e-06 3.04e-06 -99.0 -99.0 2.55e-06 9.48e-06 -99.0 -99.0 -1.84e-06 7.7e-06 -99.0 -99.0 4.6e-06 1.77e-06 6e-06 2.69e-06 3.44e-06 1.5e-06 7.35e-06 1.53e-06 1.613e-05 1.2099999999999998e-06 1.521e-05 3.31e-06 3.4909999999999996e-05 1.81e-06
9768 6.982 -99.0 -99.0 1.9699999999999998e-06 4.1900000000000005e-06 -99.0 -99.0 -6.8500000000000005e-06 4.7e-06 -99.0 -99.0 4.897e-05 1.124e-05 -99.0 -99.0 9.432e-05 9.91e-06 -99.0 -99.0 5.495e-05 2.98e-06 8.782e-05 3.5100000000000003e-06 0.00011069 2.97e-06 0.00016019 2.78e-06 0.00051357 2.68e-06 0.00097335 5.199999999999999e-06 0.00089724 4.13e-06
9793 5.077 -99.0 -99.0 5.13e-06 3.76e-06 -99.0 -99.0 6.72e-06 4.610000000000001e-06 -99.0 -99.0 1.244e-05 1.256e-05 -99.0 -99.0 -4.3e-07 1.099e-05 -99.0 -99.0 6.71e-06 2.82e-06 1.059e-05 3.44e-06 1.3690000000000001e-05 2.7200000000000002e-06 4.931e-05 2.79e-06 9.332e-05 2.29e-06 0.00021469 4.77e-06 0.00017198 3.53e-06
9887 5.105 -99.0 -99.0 1.1e-06 2.34e-06 -99.0 -99.0 3.64e-06 2.49e-06 1.53e-06 6.03e-06 9.02e-06 7.680000000000001e-06 -99.0 -99.0 1.439e-05 6.82e-06 -99.0 -99.0 5.66e-06 1.48e-06 5.74e-06 2.17e-06 7.03e-06 1.85e-06 1.4609999999999999e-05 1.61e-06 2.305e-05 1.19e-06 6.421e-05 2.87e-06 6.278e-05 2.7699999999999997e-06
10150 8.694 -99.0 -99.0 5.6100000000000005e-06 4.4e-06 -99.0 -99.0 -5.69e-06 6.1e-06 -99.0 -99.0 3.698e-05 1.303e-05 -99.0 -99.0 6.92e-05 1.076e-05 -99.0 -99.0 1.7840000000000002e-05 3.3800000000000002e-06 5.861e-05 4.16e-06 5.2130000000000004e-05 3.09e-06 6.839e-05 3.11e-06 7.89e-05 2.65e-06 0.00012058 4.890000000000001e-06 0.00021124999999999998 4.3899999999999995e-06
10670 7.415 -1.04e-06 3.68e-06 -1.25e-06 2.95e-06 -1.01e-06 2.98e-06 2.1e-06 2.49e-06 -3.5e-07 4.99e-06 1.22e-05 3.04e-06 5.48e-06 3.19e-06 1.064e-05 4.1900000000000005e-06 4.38e-06 3.24e-06 5.58e-06 2.45e-06 1.1589999999999999e-05 2.39e-06 9.49e-06 2.15e-06 1.241e-05 1.3600000000000001e-06 3.995e-05 1.32e-06 9.343e-05 2.52e-06 9.651999999999999e-05 1.78e-06
11036 5.095 -99.0 -99.0 -7.699999999999999e-07 2.8e-06 -99.0 -99.0 3.1e-06 4.57e-06 -99.0 -99.0 -1.1740000000000001e-05 1.094e-05 -99.0 -99.0 1.6e-05 9.96e-06 -99.0 -99.0 5.819999999999999e-06 2.47e-06 6.13e-06 2.9099999999999997e-06 8.86e-06 1.55e-06 2.933e-05 1.78e-06 5.9319999999999994e-05 1.71e-06 0.00017332 3.46e-06 0.00013126 1.81e-06
11048 4.89 -99.0 -99.0 7e-07 4.79e-06 -99.0 -99.0 6.87e-06 6.519999999999999e-06 -99.0 -99.0 3.04e-06 1.6250000000000002e-05 -99.0 -99.0 6.6e-06 1.3310000000000001e-05 -99.0 -99.0 8.9e-07 3.71e-06 1.058e-05 4.54e-06 4.36e-06 2.5300000000000003e-06 1.7389999999999998e-05 3.1600000000000002e-06 3.275e-05 3.0200000000000003e-06 3.972e-05 5.9e-06 3.51e-05 2.93e-06
11344 5.4983 2.86e-06 7.08e-06 -4.99e-06 3.53e-06 -99.0 -99.0 1.67e-05 3.9e-06 -99.0 -99.0 1.7899999999999998e-05 1.12e-05 4.0079999999999996e-05 1.107e-05 1.752e-05 9.8e-06 1.2810000000000001e-05 5.27e-06 1.081e-05 5.14e-06 1.614e-05 4.34e-06 1.84e-05 3.53e-06 4.718e-05 2.79e-06 8.82e-05 3.3899999999999997e-06 0.00035109000000000003 5.590000000000001e-06 0.00024754999999999997 3.77e-06
12256 5.268 -99.0 -99.0 -4.08e-06 4.47e-06 -99.0 -99.0 1.508e-05 4.38e-06 -99.0 -99.0 6.769999999999999e-05 1.127e-05 -99.0 -99.0 6.161e-05 9.67e-06 -99.0 -99.0 4.216e-05 2.7100000000000003e-06 6.161e-05 3.44e-06 8.613e-05 2.8e-06 0.00040478 3.41e-06 0.0005870999999999999 3.1e-06 0.00265709 7.59e-06 0.0018172800000000001 5.420000000000001e-06
12329 6.621 -99.0 -99.0 -2.6e-07 4.71e-06 -99.0 -99.0 3.1e-06 5.199999999999999e-06 -99.0 -99.0 1.282e-05 1.1429999999999999e-05 -99.0 -99.0 2.8139999999999998e-05 8.930000000000001e-06 -99.0 -99.0 2.868e-05 3.05e-06 2.9489999999999997e-05 3.66e-06 2.987e-05 3.1600000000000002e-06 5.075e-05 2.78e-06 0.00011926 2.34e-06 0.00012402 3.98e-06 0.0001792 4.58e-06
12385 6.11 -99.0 -99.0 2.4199999999999997e-06 2.63e-06 -99.0 -99.0 -1.6e-07 2.76e-06 3.59e-06 5.05e-06 4.28e-06 8.47e-06 -99.0 -99.0 6.64e-06 6.41e-06 -99.0 -99.0 6.83e-06 1.66e-06 9.26e-06 2.18e-06 5.05e-06 1.76e-06 1.301e-05 1.5599999999999999e-06 3.424e-05 1.41e-06 4.918e-05 2.5e-06 9.083e-05 2.2499999999999996e-06
13890 6.4734 1.063e-05 1.038e-05 -9.8e-07 3.5699999999999997e-06 -99.0 -99.0 -3.71e-06 2.57e-06 -99.0 -99.0 -2.1e-07 1.158e-05 2.273e-05 2.112e-05 2.651e-05 9.92e-06 -1.5800000000000001e-06 5.7000000000000005e-06 -1.5e-06 5.81e-06 2.31e-06 4.75e-06 3.7e-07 3.96e-06 1.456e-05 3.21e-06 5.1200000000000004e-05 3.62e-06 8.362e-05 5.72e-06 0.00012099 4.23e-06
14541 4.386 1.62e-05 7.76e-06 -3.3700000000000003e-06 8.109999999999999e-06 1.224e-05 1.195e-05 2.154e-05 6.9300000000000006e-06 -99.0 -99.0 4.405e-05 1.238e-05 -99.0 -99.0 2.341e-05 1.5530000000000002e-05 2.497e-05 9.339999999999999e-06 3.9510000000000006e-05 7.9e-06 7.142e-05 7.24e-06 0.00012709 6.2399999999999995e-06 0.00033384999999999996 6.87e-06 0.0006313600000000001 6.9499999999999995e-06 0.00075299 1.291e-05 0.00090511 7.95e-06
15076 4.13085 -4.1900000000000005e-06 1.2139999999999999e-05 8.6e-07 5.950000000000001e-06 -99.0 -99.0 6.040000000000001e-06 6.71e-06 -99.0 -99.0 1.116e-05 1.393e-05 -99.0 -99.0 9.81e-06 1.059e-05 9.72e-06 5.819999999999999e-06 1.2810000000000001e-05 5.9e-06 1.046e-05 4.87e-06 3.638e-05 4.08e-06 0.00020664 4.74e-06 0.00039219 5.05e-06 0.00037581999999999996 8.32e-06 0.00044437999999999997 5.989999999999999e-06
15132 4.8206500000000005 1.829e-05 2.484e-05 6.6899999999999995e-06 1.422e-05 -99.0 -99.0 2.013e-05 1.4380000000000001e-05 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -1.78e-06 1.265e-05 1.02e-05 1.26e-05 1.6899999999999997e-05 1.06e-05 7.379e-05 8.930000000000001e-06 0.00026622 7.57e-06 0.0005622 7.78e-06 0.00072136 1.233e-05 0.00087315 9.14e-06
15226 6.631 -9.289999999999999e-06 1.896e-05 5.12e-06 1.048e-05 -99.0 -99.0 -1.28e-06 1.1639999999999999e-05 -99.0 -99.0 1.5419999999999998e-05 2.194e-05 -99.0 -99.0 6.848e-05 1.873e-05 3.6e-06 1.218e-05 1.5419999999999998e-05 1.234e-05 1.9e-05 9.96e-06 3.102e-05 8.370000000000001e-06 4.0050000000000004e-05 6.4000000000000006e-06 7.105e-05 6.13e-06 8.816e-05 1.064e-05 0.0001186 8.059999999999999e-06
15265 4.848 -2.3e-06 1.93e-06 9.07e-06 5.22e-06 2.7799999999999998e-05 4.99e-06 3.454e-05 2.47e-06 2.268e-05 4.58e-06 1.8679999999999997e-05 4.5599999999999995e-06 -99.0 -99.0 2.91e-05 6.11e-06 3.267e-05 2.78e-06 2.6110000000000002e-05 1.98e-06 2.2329999999999998e-05 2.0500000000000003e-06 2.4920000000000002e-05 1.9e-06 5.297e-05 1.29e-06 9.583e-05 1.2999999999999998e-06 0.00010402 2.41e-06 0.00011254 1.72e-06
15321 5.037 1.83e-06 3.86e-06 1.381e-05 6e-06 5.765e-05 1.007e-05 6.74e-05 6.349999999999999e-06 0.00020219999999999998 5.711e-05 0.00015534000000000001 1.01e-05 0.00015032999999999998 2.488e-05 0.00018093000000000002 1.186e-05 8.401e-05 5.27e-06 0.00011255999999999999 3.82e-06 0.00013568 4.04e-06 0.00020063 3.910000000000001e-06 0.00104794 2.95e-06 0.0028666 4.35e-06 0.007207740000000001 1.076e-05 0.00528056 5.56e-06
